'1'
Tool,App,Min,,,,Max,,,,Med,,,,Avg,,,,SD(avg),,,,SD(med),,,,Size,,,,
pinMain,bt,156.83,162.33,157.54,154.40,155.02,175.11,157.09,157.53,155.02,157.22,155.47,155.95,155.62,164.89,156.70,155.96,1.61,1.68,1.62,1.59,1.61,1.58,1.61,1.59,2250.15,2250.05,2250.15,2250.17,
pinMain,cg,28.15,29.99,29.39,28.96,29.03,29.34,28.91,29.24,27.78,29.88,29.27,29.46,28.32,29.74,29.19,29.22,1.25,1.29,1.20,1.23,1.23,1.28,1.18,1.27,249.94,234.48,252.17,250.59,
pinMain,ep,45.51,46.39,45.77,46.88,46.80,47.52,46.52,47.67,46.07,46.44,46.45,46.31,46.13,46.78,46.25,46.95,3.17,3.00,3.01,2.99,3.22,3.01,3.00,2.98,1669.32,1669.24,1669.33,1669.33,
pinMain,ft,47.24,48.08,48.62,49.18,48.27,55.04,49.40,49.92,47.39,48.53,48.60,49.37,47.63,50.55,48.87,49.49,1.68,1.78,1.69,1.74,1.65,1.67,1.72,1.72,717.93,717.82,717.93,717.93,
pinMain,is,11.56,13.21,14.42,11.85,11.98,11.92,12.32,13.82,11.83,12.58,12.38,12.48,11.79,12.57,13.04,12.71,1.32,1.18,1.38,1.31,1.34,1.11,1.33,1.30,38.53,38.48,38.56,38.47,
pinMain,lu,75.97,86.20,77.60,78.11,76.60,79.94,76.77,78.32,75.49,79.14,76.58,77.56,76.02,81.76,76.98,78.00,1.17,1.22,1.16,1.19,1.17,1.19,1.16,1.17,1048.59,1083.90,1031.80,990.91,
pinMain,mg,17.80,18.33,18.45,19.04,18.27,19.57,18.15,19.02,17.75,18.33,18.31,18.69,17.94,18.74,18.31,18.91,1.35,1.37,1.26,1.34,1.41,1.33,1.19,1.33,511.20,515.69,515.40,498.96,
pinMain,sp,121.96,123.05,122.89,124.03,123.32,123.12,123.05,124.01,121.72,123.18,122.46,123.87,122.33,123.12,122.80,123.97,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1251.85,1247.87,1249.16,1248.74,
pinAll,bt,144.64,145.05,145.42,149.94,145.56,148.92,145.37,145.76,144.51,147.19,144.77,145.96,144.90,147.05,145.19,147.22,1.50,1.50,1.50,1.50,1.50,1.48,1.50,1.49,25241.71,25287.67,25285.63,25346.29,
pinAll,cg,31.59,31.83,33.37,32.99,32.56,32.05,35.07,32.58,31.77,31.82,32.68,32.93,31.97,31.90,33.71,32.83,1.41,1.39,1.38,1.38,1.40,1.37,1.32,1.42,17340.76,17362.46,17365.94,17362.98,
pinAll,ep,47.72,47.71,48.97,49.32,48.50,48.89,3.71,48.58,47.50,48.54,48.58,48.94,47.91,48.38,33.75,48.94,3.29,3.10,2.19,3.12,3.32,3.15,3.14,3.15,12909.03,11652.41,8611.72,12934.28,
pinAll,ft,48.91,49.75,49.63,51.68,49.83,50.47,49.72,50.10,48.77,49.53,49.38,49.97,49.17,49.92,49.57,50.58,1.74,1.76,1.71,1.78,1.69,1.70,1.75,1.74,11352.02,11341.65,11360.59,11356.73,
pinAll,is,13.60,15.34,14.72,14.91,15.07,15.47,14.89,14.72,14.05,14.45,14.68,15.16,14.24,15.09,14.76,14.93,1.60,1.42,1.57,1.54,1.59,1.27,1.57,1.58,9961.27,9981.41,9958.35,9959.28,
pinAll,lu,80.22,82.83,79.52,80.64,80.09,83.57,79.30,80.39,78.76,82.60,79.45,80.40,79.69,83.00,79.43,80.48,1.23,1.24,1.19,1.22,1.22,1.25,1.20,1.22,27630.97,28027.78,27309.18,27549.80,
pinAll,mg,20.34,20.98,21.09,22.11,21.05,20.92,21.27,20.56,20.34,20.73,20.89,21.05,20.58,20.88,21.08,21.24,1.55,1.52,1.45,1.51,1.61,1.50,1.35,1.49,12340.42,12324.90,12310.71,12347.03,
pinAll,sp,141.29,125.47,125.50,125.70,125.73,125.22,125.65,125.60,124.65,125.67,125.74,126.36,130.56,125.45,125.63,125.88,1.13,1.08,1.08,1.08,1.08,1.08,1.09,1.08,26331.23,24992.35,24959.89,24964.55,
orig,bt,97.15,96.51,97.50,97.78,96.53,98.33,96.73,98.03,96.21,99.35,96.82,98.25,96.63,98.06,97.02,98.02,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,cg,21.99,22.64,23.51,24.52,23.26,23.10,24.84,23.58,22.62,23.30,24.76,23.14,22.62,23.01,24.37,23.74,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,ep,13.76,16.41,15.38,16.38,15.60,14.98,15.33,15.19,14.31,15.41,15.46,15.55,14.56,15.60,15.39,15.70,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,ft,27.52,27.75,30.26,28.05,28.62,28.25,28.40,28.62,28.79,29.14,28.22,28.75,28.31,28.38,28.96,28.47,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,is,8.69,9.51,9.53,9.50,9.20,11.00,9.40,9.89,8.81,11.36,9.33,9.62,8.90,10.62,9.42,9.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,lu,64.95,68.09,66.15,65.88,65.42,65.99,67.15,65.55,64.78,66.34,66.15,66.02,65.05,66.81,66.48,65.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,mg,13.29,13.65,13.90,14.09,13.94,13.74,14.24,14.02,12.62,13.79,15.45,14.09,13.28,13.73,14.53,14.07,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,sp,114.19,115.64,115.97,118.19,115.99,116.12,115.73,116.56,115.33,115.97,115.67,116.50,115.17,115.91,115.79,117.08,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,


'4'
Tool,App,Min,,,,Max,,,,Med,,,,Avg,,,,SD(avg),,,,SD(med),,,,Size,,,,
pinMain,bt,48.83,55.81,53.79,49.44,49.54,49.11,49.61,50.00,48.31,49.98,49.41,48.95,48.89,51.64,50.94,49.46,1.68,1.79,1.72,1.42,1.69,1.67,1.62,1.64,16893.03,16867.62,16812.00,16874.74,
pinMain,cg,20.45,86.74,21.65,19.91,20.21,13.05,15.92,20.34,23.74,19.61,19.74,20.32,21.47,39.80,19.10,20.19,1.45,2.60,1.33,1.40,1.74,1.32,1.36,1.41,17407.24,11139.57,11592.04,17229.11,
pinMain,ep,21.00,24.05,21.91,23.95,22.22,21.95,21.80,22.72,20.50,21.97,23.42,21.93,21.24,22.66,22.38,22.87,1.66,1.77,1.80,1.88,1.73,1.81,1.99,1.71,2123.94,2122.95,2125.06,2123.20,
pinMain,ft,23.82,25.03,24.75,25.10,24.79,25.79,26.83,25.04,24.19,25.17,27.47,31.31,24.27,25.33,26.35,27.15,1.30,1.42,1.54,1.59,1.37,1.37,1.62,1.86,2842.45,2838.35,2845.17,2833.22,
pinMain,is,13.62,11.91,15.98,13.99,13.66,12.77,14.28,13.78,14.97,13.96,13.90,14.28,14.08,12.88,14.72,14.02,1.22,0.96,1.36,1.29,1.47,1.19,1.32,1.32,991.78,355.02,990.42,982.75,
pinMain,lu,12.82,13.25,33.25,33.60,33.08,33.10,32.82,33.15,32.88,34.82,14.51,33.39,26.26,27.06,26.86,33.38,0.98,1.04,1.02,1.28,1.32,1.32,0.53,1.27,29047.69,30609.53,29043.01,43449.34,
pinMain,mg,13.35,16.24,16.33,17.11,15.39,15.78,18.03,15.80,14.17,16.16,15.87,15.95,14.30,16.06,16.74,16.29,1.09,1.41,1.24,1.43,1.17,1.44,0.89,1.37,3340.29,4844.66,4849.93,5060.45,
pinMain,sp,36.17,36.75,36.64,51.68,37.09,12.72,36.43,47.96,35.41,13.20,37.18,37.78,36.22,20.89,36.75,45.81,1.01,0.73,1.28,1.56,0.95,0.45,1.28,1.33,27480.60,9403.82,27499.58,28960.50,
pinAll,bt,11.98,48.78,48.67,48.42,49.07,47.85,51.60,50.40,47.81,48.22,52.36,48.97,36.29,48.28,50.88,49.26,1.25,1.67,1.72,1.42,1.67,1.61,1.72,1.64,86907.00,113067.65,114342.76,112024.36,
pinAll,cg,26.20,22.28,25.72,23.77,23.80,22.68,23.89,24.47,22.62,22.58,13.26,23.83,24.21,22.51,20.96,24.02,1.63,1.47,1.46,1.66,1.66,1.52,0.91,1.65,90592.90,90814.70,69964.35,90772.95,
pinAll,ep,12.83,25.08,24.73,24.44,25.32,13.53,25.45,24.84,27.14,25.88,25.09,13.62,21.76,21.49,25.09,20.97,1.70,1.68,2.02,1.72,2.29,2.13,2.13,1.06,38733.86,37870.42,43727.30,38694.94,
pinAll,ft,12.64,26.86,27.24,28.66,27.22,26.98,27.34,29.41,26.18,27.82,29.44,27.55,22.01,27.22,28.01,28.54,1.18,1.52,1.64,1.68,1.48,1.51,1.74,1.63,47018.32,56110.96,56576.38,56606.90,
pinAll,is,15.03,17.16,16.56,16.94,16.92,16.37,18.02,16.55,16.13,16.72,29.10,16.80,16.03,16.75,21.23,16.76,1.39,1.25,1.95,1.54,1.58,1.43,2.77,1.55,45492.66,45286.63,45324.38,45276.53,
pinAll,lu,36.49,12.16,38.21,37.14,48.20,37.06,36.04,38.41,37.12,37.86,36.16,37.97,40.60,29.03,36.80,37.84,1.51,1.11,1.39,1.45,1.49,1.44,1.32,1.44,125479.60,94997.55,126526.73,125778.98,
pinAll,mg,17.30,18.67,18.48,18.05,18.34,18.26,18.69,19.84,19.15,18.73,18.68,18.38,18.27,18.55,18.62,18.76,1.39,1.63,1.38,1.64,1.59,1.67,1.04,1.58,54215.13,53239.30,53286.73,53332.48,
pinAll,sp,38.65,39.12,40.45,41.54,39.59,39.03,39.70,39.70,39.28,40.57,41.06,13.73,39.17,39.57,40.40,31.66,1.10,1.37,1.41,1.08,1.05,1.39,1.42,0.48,120473.89,119227.10,119991.00,89473.76,
orig,bt,28.00,27.84,29.18,44.66,30.84,28.79,29.13,29.89,28.58,29.96,30.51,29.85,29.14,28.86,29.61,34.80,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,cg,16.32,16.54,14.66,14.30,14.60,14.49,13.77,14.59,13.64,14.89,14.51,14.43,14.85,15.31,14.32,14.44,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,ep,14.82,10.96,13.83,11.81,11.76,15.31,11.64,11.93,11.85,12.12,11.79,12.79,12.81,12.80,12.42,12.18,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,ft,20.97,17.21,17.24,17.15,17.17,18.10,17.03,17.06,17.69,18.39,16.91,16.86,18.61,17.90,17.06,17.02,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,is,13.35,18.10,10.19,11.09,10.95,10.35,11.91,10.82,10.19,11.72,10.49,10.80,11.50,13.39,10.86,10.90,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,lu,28.90,26.23,25.91,25.97,26.67,25.60,26.03,26.06,24.88,26.36,27.43,26.33,26.82,26.06,26.46,26.12,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,mg,14.25,11.35,11.54,11.29,13.10,11.55,11.10,11.32,12.07,11.24,17.90,11.64,13.14,11.38,13.51,11.41,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
