Tool,Compiler,Benchmark,Application,#nodes,#processes,Rep ID,Runtime(s)-real,Runtime(s)-user,Runtime(s)-sys,Size(KB)
tau_exec,mpicc,hpgmg,fe,16,256,1,25.681999999999999,1.296,0.35899999999999999,4261811.501953125
tau_exec,mpicc,hpgmg,fe,16,256,2,23.341000000000001,1.3160000000000001,0.39500000000000002,4219848.3369140625
tau_exec,mpicc,hpgmg,fe,16,256,3,23.234999999999999,1.284,0.439,4578042.1123046875
tau_exec,mpicc,hpgmg,fv1,16,256,1,182.13900000000001,1.347,0.75700000000000001,42500550.130859375
tau_exec,mpicc,hpgmg,fv1,16,256,2,178.09999999999999,1.3380000000000001,0.65300000000000002,42237837.610351562
tau_exec,mpicc,hpgmg,fv1,16,256,3,168.56,1.3180000000000001,0.63400000000000001,38036606.678710938
tau_exec,mpicc,hpgmg,fv2,16,256,1,177.84199999999998,1.3260000000000001,0.84399999999999997,66373994.952148438
tau_exec,mpicc,hpgmg,fv2,16,256,2,187.47900000000001,1.3200000000000001,0.98699999999999999,66247813.510742188
tau_exec,mpicc,hpgmg,fv2,16,256,3,186.35499999999999,1.3280000000000001,0.75800000000000001,68397121.818359375
tau_exec,mpicc,hpgmg,fv3,16,256,1,215.596,1.3400000000000001,0.51900000000000002,81509367.62109375
tau_exec,mpicc,hpgmg,fv3,16,256,2,225.86199999999999,1.343,0.51500000000000001,67611605.676757812
tau_exec,mpicc,hpgmg,fv3,16,256,3,219.828,1.3180000000000001,0.61699999999999999,68897767.866210938
tau_exec,mpicc,nas,bt,16,256,1,14.603999999999999,1.339,0.49399999999999999,4327848.0546875
tau_exec,mpicc,nas,bt,16,256,2,11.672000000000001,1.292,0.38900000000000001,4327808.70703125
tau_exec,mpicc,nas,bt,16,256,3,10.916,1.3080000000000001,0.36199999999999999,4327815.1279296875
tau_exec,mpicc,nas,cg,16,256,1,8.6430000000000007,1.298,0.41299999999999998,4995823.087890625
tau_exec,mpicc,nas,cg,16,256,2,7.7370000000000001,1.333,0.316,4995785.2138671875
tau_exec,mpicc,nas,cg,16,256,3,9.1140000000000008,1.3300000000000001,0.34300000000000003,4995784.650390625
tau_exec,mpicc,nas,ep,16,256,1,4.351,1.292,0.40300000000000002,4128.5703125
tau_exec,mpicc,nas,ep,16,256,2,4.7380000000000004,1.2989999999999999,0.38400000000000001,4070.1259765625
tau_exec,mpicc,nas,ep,16,256,3,3.5870000000000002,1.329,0.33500000000000002,4102.494140625
tau_exec,mpicc,nas,ft,16,256,1,8.7609999999999992,1.3169999999999999,0.33200000000000002,6555.974609375
tau_exec,mpicc,nas,ft,16,256,2,8.7189999999999994,1.339,0.32500000000000001,6565.640625
tau_exec,mpicc,nas,ft,16,256,3,8.9410000000000007,1.429,0.378,6561.322265625
tau_exec,mpicc,nas,is,16,256,1,4.4100000000000001,1.3120000000000001,0.34000000000000002,7113.8427734375
tau_exec,mpicc,nas,is,16,256,2,4.5209999999999999,1.3260000000000001,0.42199999999999999,7113.9736328125
tau_exec,mpicc,nas,is,16,256,3,5.617,1.3160000000000001,0.33400000000000002,7124.3779296875
tau_exec,mpicc,nas,lu,16,256,1,22.023,1.3200000000000001,0.35899999999999999,18262782.104492188
tau_exec,mpicc,nas,lu,16,256,2,21.969999999999999,1.3169999999999999,0.45600000000000002,18262819.75390625
tau_exec,mpicc,nas,lu,16,256,3,22.523,1.274,0.442,18262781.286132812
tau_exec,mpicc,nas,mg,16,256,1,9.0210000000000008,1.329,0.41199999999999998,559438.986328125
tau_exec,mpicc,nas,mg,16,256,2,4.1959999999999997,1.319,0.438,559398.193359375
tau_exec,mpicc,nas,mg,16,256,3,4.375,1.3149999999999999,0.33800000000000002,559404.01953125
tau_exec,mpicc,nas,sp,16,256,1,12.032999999999999,1.3080000000000001,0.33900000000000002,7326637.6083984375
tau_exec,mpicc,nas,sp,16,256,2,13.936999999999999,1.3999999999999999,0.36499999999999999,7326682.6552734375
tau_exec,mpicc,nas,sp,16,256,3,12.691000000000001,1.49,0.435,7326640.3388671875
