Tool,Compiler,Benchmark,Application,#nodes,#processes,avg Runtime(s)-real,avg Runtime(s)-user, avg Size(KB)
callgrind,mpicc,amg,amg1,1,16,2221.7549999999997,0.98833333333333329,8363.4453125
callgrind,mpicc,amg,amg2,1,16,827.82799999999997,0.96799999999999997,8358.9033203125
callgrind,mpicc,amg,amg3,1,16,182.05933333333329,0.96499999999999997,8389.58203125
callgrind,mpicc,amg,amg4,1,16,158.31800000000001,0.96133333333333326,8382.8544921875
callgrind,mpicc,amg,amg1,4,64,2471.8003333333331,1.1743333333333335,40054.2744140625
callgrind,mpicc,amg,amg2,4,64,963.15466666666669,1.1586666666666667,40079.34375
callgrind,mpicc,amg,amg3,4,64,207.37033333333332,1.1483333333333332,39953.015625
callgrind,mpicc,amg,amg4,4,64,226.97199999999998,1.1323333333333332,39904.7333984375
callgrind,mpicc,hpgmg,fe,1,16,297.55466666666666,0.92099999999999993,10731.0693359375
callgrind,mpicc,hpgmg,fv1,1,16,170.69833333333335,1.1253333333333333,5953.4912109375
callgrind,mpicc,hpgmg,fv2,1,16,173.83533333333335,1.0226666666666666,6276.1591796875
callgrind,mpicc,hpgmg,fv3,1,16,336.81966666666665,0.95033333333333336,6002.3818359375
callgrind,mpicc,hpgmg,fe,4,64,368.32900000000001,1.1609999999999998,48261.6630859375
callgrind,mpicc,hpgmg,fv1,4,64,172.76200000000003,1.2553333333333334,29336.3974609375
callgrind,mpicc,hpgmg,fv2,4,64,181.88566666666665,1.2110000000000001,30002.70703125
callgrind,mpicc,hpgmg,fv3,4,64,352.73866666666663,1.1599999999999999,30587.89453125
callgrind,mpicc,nas,bt,1,16,1028.6863333333333,0.95333333333333325,5715.0693359375
callgrind,mpicc,nas,cg,1,16,93.328999999999994,0.97366666666666657,5419.4267578125
callgrind,mpicc,nas,ep,1,16,143.22466666666665,0.96066666666666656,5198.111328125
callgrind,mpicc,nas,ft,1,16,293.8963333333333,0.94899999999999995,5834.263671875
callgrind,mpicc,nas,is,1,16,15.500999999999999,0.94499999999999995,5362.6015625
callgrind,mpicc,nas,lu,1,16,482.83733333333333,0.96133333333333326,5868.8623046875
callgrind,mpicc,nas,mg,1,16,48.812666666666665,0.95899999999999996,5865.5185546875
callgrind,mpicc,nas,sp,1,16,429.68000000000001,0.95199999999999996,5671.19140625
callgrind,mpicc,nas,bt,4,64,300.24266666666671,1.1103333333333334,28185.8681640625
callgrind,mpicc,nas,cg,4,64,41.164666666666669,1.1223333333333334,26711.095703125
callgrind,mpicc,nas,ep,4,64,41.431000000000004,1.1060000000000001,24937.7939453125
callgrind,mpicc,nas,ft,4,64,83.144666666666666,1.1126666666666667,29007.822265625
callgrind,mpicc,nas,is,4,64,9.7320000000000011,1.1143333333333334,27479.30859375
callgrind,mpicc,nas,lu,4,64,144.17866666666666,1.1156666666666666,28809.375
callgrind,mpicc,nas,mg,4,64,20.388333333333335,1.1166666666666667,29098.82421875
callgrind,mpicc,nas,sp,4,64,137.47566666666668,1.1086666666666669,28103.7509765625
orig,mpicc,amg,amg1,1,16,37.175666666666672,1.3883333333333334,0.0
orig,mpicc,amg,amg2,1,16,17.586000000000002,1.3823333333333334,0.0
orig,mpicc,amg,amg3,1,16,7.8406666666666665,1.3753333333333335,0.0
orig,mpicc,amg,amg4,1,16,6.1306666666666665,1.3756666666666666,0.0
orig,mpicc,amg,amg1,4,64,42.727333333333341,1.5730000000000002,0.0
orig,mpicc,amg,amg2,4,64,22.463333333333335,1.5633333333333332,0.0
orig,mpicc,amg,amg3,4,64,11.795,1.5683333333333334,0.0
orig,mpicc,amg,amg4,4,64,9.9560000000000013,1.5666666666666667,0.0
orig,tau,amg,amg1,1,16,0.0,0.0,8.9462890625
orig,tau,amg,amg2,1,16,0.0,0.0,8.9462890625
orig,tau,amg,amg3,1,16,0.0,0.0,8.9453125
orig,tau,amg,amg4,1,16,0.0,0.0,8.94921875
orig,tau,amg,amg1,4,64,0.0,0.0,8.939453125
orig,tau,amg,amg2,4,64,0.0,0.0,8.9423828125
orig,tau,amg,amg3,4,64,0.0,0.0,8.9404296875
orig,tau,amg,amg4,4,64,0.0,0.0,8.9375
orig,mpicc,hpgmg,fe,1,16,13.877000000000001,1.7906666666666666,0.0
orig,mpicc,hpgmg,fv1,1,16,182.48833333333334,4.8259999999999996,0.0
orig,mpicc,hpgmg,fv2,1,16,177.43066666666667,3.1110000000000002,0.0
orig,mpicc,hpgmg,fv3,1,16,197.86633333333336,1.5186666666666666,0.0
orig,mpicc,hpgmg,fe,4,64,16.857333333333333,1.9406666666666668,0.0
orig,mpicc,hpgmg,fv1,4,64,173.15633333333335,2.8603333333333332,0.0
orig,mpicc,hpgmg,fv2,4,64,173.92866666666669,2.2626666666666666,0.0
orig,mpicc,hpgmg,fv3,4,64,202.78600000000003,1.6836666666666666,0.0
orig,scorep,hpgmg,fe,1,16,53.550999999999995,1.7849999999999999,0.0
orig,scorep,hpgmg,fv1,1,16,183.54766666666669,2.6519999999999997,0.0
orig,scorep,hpgmg,fv2,1,16,180.66933333333336,2.2186666666666661,0.0
orig,scorep,hpgmg,fv3,1,16,240.09466666666665,1.3950000000000002,0.0
orig,scorep,hpgmg,fe,4,64,63.069333333333326,1.9603333333333335,0.0
orig,scorep,hpgmg,fv1,4,64,185.90700000000001,2.0143333333333335,0.0
orig,scorep,hpgmg,fv2,4,64,194.01599999999999,1.9400000000000002,0.0
orig,scorep,hpgmg,fv3,4,64,244.71933333333334,1.5983333333333334,0.0
orig,tau,hpgmg,fe,1,16,52.557333333333332,1.7563333333333333,0.0
orig,tau,hpgmg,fv1,1,16,180.30499999999998,2.5743333333333331,0.0
orig,tau,hpgmg,fv2,1,16,172.04300000000001,2.1853333333333329,0.0
orig,tau,hpgmg,fv3,1,16,239.53933333333336,1.3616666666666666,0.0
orig,tau,hpgmg,fe,4,64,63.193333333333328,1.9316666666666666,0.0
orig,tau,hpgmg,fv1,4,64,186.15766666666664,1.9543333333333333,0.0
orig,tau,hpgmg,fv2,4,64,173.87100000000001,1.8746666666666669,0.0
orig,tau,hpgmg,fv3,4,64,243.75800000000001,1.5413333333333332,0.0
orig,mpicc,nas,bt,1,16,93.004666666666665,1.3676666666666666,0.0
orig,mpicc,nas,cg,1,16,19.73266666666667,1.3699999999999999,0.0
orig,mpicc,nas,ep,1,16,11.665333333333335,1.3600000000000001,0.0
orig,mpicc,nas,ft,1,16,24.879999999999999,1.361,0.0
orig,mpicc,nas,is,1,16,6.2623333333333333,1.3540000000000001,0.0
orig,mpicc,nas,lu,1,16,62.054000000000002,1.3700000000000001,0.0
orig,mpicc,nas,mg,1,16,11.820999999999998,1.3736666666666666,0.0
orig,mpicc,nas,sp,1,16,112.03066666666666,1.3806666666666665,0.0
orig,mpicc,nas,bt,4,64,23.117666666666668,1.5179999999999998,0.0
orig,mpicc,nas,cg,4,64,9.1169999999999991,1.5173333333333332,0.0
orig,mpicc,nas,ep,4,64,6.7610000000000001,1.5123333333333333,0.0
orig,mpicc,nas,ft,4,64,12.758666666666668,1.5033333333333332,0.0
orig,mpicc,nas,is,4,64,6.3046666666666669,1.5,0.0
orig,mpicc,nas,lu,4,64,20.424666666666667,1.5113333333333332,0.0
orig,mpicc,nas,mg,4,64,7.2326666666666668,1.5216666666666665,0.0
orig,mpicc,nas,sp,4,64,23.061000000000003,1.5146666666666666,0.0
orig,scorep,nas,bt,1,16,93.578000000000017,1.4573333333333334,12252.310546875
orig,scorep,nas,cg,1,16,19.743333333333336,1.4633333333333332,27541.7158203125
orig,scorep,nas,ep,1,16,12.245333333333335,1.4596666666666669,111.486328125
