Tool,Compiler,Benchmark,Application,#nodes,#processes,Rep ID,Runtime(s)-real,Runtime(s)-user,Runtime(s)-sys,Size(KB)
callgrind,mpicc,pkifmm,ex0-2,1,16,1,3284.3339999999998,1.0,0.27400000000000002,20218.654296875
callgrind,mpicc,pkifmm,ex0-2,1,16,2,3282.3519999999999,0.96899999999999997,0.26700000000000002,20218.93359375
callgrind,mpicc,pkifmm,ex0-2,1,16,3,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex0-2,4,64,1,3754.627,1.234,0.52800000000000002,87550.525390625
callgrind,mpicc,pkifmm,ex0-2,4,64,2,0.0,0.0,0.0,0.0
orig,tau,amg,amg1,1,16,1,58.326000000000001,1.4630000000000001,0.315,4347057.8916015625
orig,tau,amg,amg1,1,16,2,61.756999999999998,1.4950000000000001,0.28399999999999997,4391087.451171875
orig,tau,amg,amg1,1,16,3,59.319000000000003,1.4850000000000001,0.29399999999999998,4329860.5771484375
orig,tau,amg,amg2,1,16,1,58.948999999999998,1.4850000000000001,0.29499999999999998,4185665.12109375
orig,tau,amg,amg2,1,16,2,59.476999999999997,1.4970000000000001,0.27200000000000002,4382485.2294921875
orig,tau,amg,amg2,1,16,3,63.633000000000003,1.506,0.30199999999999999,4426820.6728515625
orig,tau,amg,amg3,1,16,1,61.57,1.494,0.32900000000000001,4079035.59375
orig,tau,amg,amg3,1,16,2,53.664000000000001,1.482,0.28999999999999998,3928500.5947265625
orig,tau,amg,amg3,1,16,3,57.790999999999997,1.502,0.27400000000000002,4166869.384765625
orig,tau,amg,amg4,1,16,1,58.509,1.476,0.30199999999999999,4243425.880859375
orig,tau,amg,amg4,1,16,2,60.258000000000003,1.498,0.28000000000000003,4272460.662109375
orig,tau,amg,amg4,1,16,3,58.835000000000001,1.494,0.28699999999999998,4243395.9228515625
orig,tau,amg,amg1,4,64,1,4.952,1.6599999999999999,0.32000000000000001,5039.861328125
orig,tau,amg,amg1,4,64,2,6.1740000000000004,1.647,0.34000000000000002,5039.7646484375
orig,tau,amg,amg1,4,64,3,5.1020000000000003,1.6519999999999999,0.31,5040.5947265625
orig,tau,amg,amg2,4,64,1,5.0759999999999996,1.6419999999999999,0.32200000000000001,5039.8076171875
orig,tau,amg,amg2,4,64,2,4.9939999999999998,1.6519999999999999,0.38700000000000001,5039.71484375
orig,tau,amg,amg2,4,64,3,5.0030000000000001,1.6699999999999999,0.36099999999999999,5039.7783203125
orig,tau,amg,amg3,4,64,1,11.727,1.6439999999999999,0.378,5040.4833984375
orig,tau,amg,amg3,4,64,2,4.9039999999999999,1.659,0.308,5039.796875
