Tool,Compiler,Benchmark,Application,#nodes,#processes,Rep ID,Runtime(s)-real,Runtime(s)-user,Runtime(s)-sys,Size(KB)
wpinAll,mpicc,amg,amg1,1,16,1,150.42599999999999,0.93500000000000005,0.17299999999999999,6994649.44921875
wpinAll,mpicc,amg,amg1,1,16,2,158.953,0.94199999999999995,0.16600000000000001,7746905.10546875
wpinAll,mpicc,amg,amg1,1,16,3,147.91800000000001,0.93400000000000005,0.187,6940831.1484375
wpinAll,mpicc,amg,amg2,1,16,1,87.930000000000007,0.94099999999999995,0.16600000000000001,4456477.98046875
wpinAll,mpicc,amg,amg2,1,16,2,89.525999999999996,0.94299999999999995,0.161,4400648.03515625
wpinAll,mpicc,amg,amg2,1,16,3,83.876000000000005,0.92100000000000004,0.191,4229709.50390625
wpinAll,mpicc,amg,amg3,1,16,1,44.520000000000003,0.94799999999999995,0.191,1929092.60546875
wpinAll,mpicc,amg,amg3,1,16,2,54.076000000000001,0.95099999999999996,0.14999999999999999,2695271.703125
wpinAll,mpicc,amg,amg3,1,16,3,46.249000000000002,0.91400000000000003,0.19,2383636.5625
wpinAll,mpicc,amg,amg4,1,16,1,48.5,0.93100000000000005,0.185,2555310.83984375
wpinAll,mpicc,amg,amg4,1,16,2,54.921999999999997,0.92500000000000004,0.185,3185592.0390625
wpinAll,mpicc,amg,amg4,1,16,3,47.552999999999997,0.94499999999999995,0.156,2533944.3359375
wpinAll,mpicc,amg,amg1,4,64,1,310.76100000000002,1.1000000000000001,0.249,74930257.1328125
wpinAll,mpicc,amg,amg1,4,64,2,423.89600000000002,1.1060000000000001,0.23000000000000001,109446668.015625
wpinAll,mpicc,amg,amg1,4,64,3,319.06599999999997,1.1140000000000001,0.23100000000000001,76451220.0234375
wpinAll,mpicc,amg,amg2,4,64,1,257.60300000000001,1.0960000000000001,0.20200000000000001,69725667.56640625
wpinAll,mpicc,amg,amg2,4,64,2,283.92899999999997,1.089,0.23699999999999999,75871283.0234375
wpinAll,mpicc,amg,amg2,4,64,3,274.39999999999998,1.101,0.218,73536354.95703125
wpinAll,mpicc,amg,amg3,4,64,1,247.60400000000001,1.0780000000000001,0.249,70538045.88671875
wpinAll,mpicc,amg,amg3,4,64,2,207.50900000000001,1.1020000000000001,0.19900000000000001,58483337.46875
wpinAll,mpicc,amg,amg3,4,64,3,185.44,1.0940000000000001,0.19400000000000001,52231290.96484375
wpinAll,mpicc,amg,amg4,4,64,1,306.09100000000001,1.091,0.22500000000000001,82926990.3828125
wpinAll,mpicc,amg,amg4,4,64,2,285.47300000000001,1.095,0.216,11259315.01171875
wpinAll,mpicc,amg,amg4,4,64,3,285.47300000000001,1.095,0.216,11259315.01171875
wpinAll,mpicc,hpgmg,fe,1,16,1,187.75399999999999,0.93400000000000005,0.182,9466505.01953125
wpinAll,mpicc,hpgmg,fe,1,16,2,190.172,0.95299999999999996,0.14599999999999999,9752224.98828125
wpinAll,mpicc,hpgmg,fe,1,16,3,194.648,0.93200000000000005,0.17499999999999999,10059987.04296875
wpinAll,mpicc,hpgmg,fv1,1,16,1,171.66300000000001,1.2190000000000001,2.1259999999999999,12754015.4765625
wpinAll,mpicc,hpgmg,fv1,1,16,2,269.10699999999997,1.242,2.3410000000000002,20128528.16796875
wpinAll,mpicc,hpgmg,fv1,1,16,3,237.18799999999999,1.2689999999999999,2.254,18224552.7109375
wpinAll,mpicc,hpgmg,fv2,1,16,1,274.327,0.98799999999999999,0.40999999999999998,20557524.28125
wpinAll,mpicc,hpgmg,fv2,1,16,2,12.353999999999999,0.93999999999999995,0.16600000000000001,0.0576171875
wpinAll,mpicc,hpgmg,fv2,1,16,3,204.36699999999999,0.97799999999999998,0.27600000000000002,14895501.6015625
wpinAll,mpicc,hpgmg,fv3,1,16,1,349.71600000000001,0.95199999999999996,0.27800000000000002,25025126.734375
wpinAll,mpicc,hpgmg,fv3,1,16,2,333.096,1.0,0.23599999999999999,24546694.44921875
wpinAll,mpicc,hpgmg,fv3,1,16,3,336.86700000000002,0.96799999999999997,0.248,24789400.44140625
wpinAll,mpicc,nas,bt,1,16,1,753.971,0.94199999999999995,0.20399999999999999,48226232.23046875
wpinAll,mpicc,nas,bt,1,16,2,646.42200000000003,0.95799999999999996,0.20899999999999999,42000037.62109375
wpinAll,mpicc,nas,bt,1,16,3,641.78999999999996,0.98199999999999998,0.17299999999999999,41891201.63671875
wpinAll,mpicc,nas,cg,1,16,1,55.029000000000003,0.93999999999999995,0.19500000000000001,1961332.7890625
wpinAll,mpicc,nas,cg,1,16,2,62.011000000000003,0.95999999999999996,0.152,2861072.83203125
wpinAll,mpicc,nas,cg,1,16,3,55.082000000000001,0.93899999999999995,0.17599999999999999,2198694.71875
wpinAll,mpicc,nas,ep,1,16,1,1558.1010000000001,0.92200000000000004,0.20200000000000001,30412893.678710938
wpinAll,mpicc,nas,ep,1,16,2,402.375,0.91600000000000004,0.221,11525305.4921875
wpinAll,mpicc,nas,ft,1,16,1,217.23699999999999,0.95199999999999996,0.154,15188531.578125
wpinAll,mpicc,nas,ft,1,16,2,214.66,0.95999999999999996,0.17899999999999999,14759234.16796875
wpinAll,mpicc,nas,ft,1,16,3,221.70600000000002,0.94799999999999995,0.192,15164488.15625
wpinAll,mpicc,nas,is,1,16,1,16.741,0.95299999999999996,0.17799999999999999,303129.36328125
wpinAll,mpicc,nas,is,1,16,2,13.034000000000001,0.92700000000000005,0.17399999999999999,272362.1484375
wpinAll,mpicc,nas,is,1,16,3,13.903,0.94399999999999995,0.16,201870.6953125
wpinAll,mpicc,nas,lu,1,16,1,133.51400000000001,0.95099999999999996,0.23200000000000001,4957391.7734375
wpinAll,mpicc,nas,lu,1,16,2,129.01400000000001,0.95099999999999996,0.17899999999999999,4817432.4765625
wpinAll,mpicc,nas,lu,1,16,3,137.93299999999999,0.93799999999999994,0.187,5422818.4296875
wpinAll,mpicc,nas,mg,1,16,1,31.486000000000001,0.95799999999999996,0.17299999999999999,999860.25390625
wpinAll,mpicc,nas,mg,1,16,2,31.370999999999999,0.94999999999999996,0.153,1383520.24609375
wpinAll,mpicc,nas,mg,1,16,3,32.494999999999997,0.93200000000000005,0.17000000000000001,1468132.7265625
wpinAll,mpicc,nas,sp,1,16,1,211.89600000000002,0.91800000000000004,0.186,10510557.67578125
wpinAll,mpicc,nas,sp,1,16,2,212.37299999999999,0.93899999999999995,0.16600000000000001,10301897.07421875
wpinAll,mpicc,nas,sp,1,16,3,207.928,0.95799999999999996,0.20300000000000001,10077953.0625
wpinMain,mpicc,amg,amg1,1,16,1,97.670999999999992,0.92700000000000005,0.189,2445781.52734375
wpinMain,mpicc,amg,amg1,1,16,2,96.353000000000009,0.93400000000000005,0.17000000000000001,2445769.31640625
wpinMain,mpicc,amg,amg1,1,16,3,98.504999999999995,0.94799999999999995,0.155,2445768.8046875
wpinMain,mpicc,amg,amg2,1,16,1,52.703000000000003,0.92700000000000005,0.17799999999999999,1449151.19921875
wpinMain,mpicc,amg,amg2,1,16,2,54.151000000000003,0.93600000000000005,0.16900000000000001,1449152.4375
wpinMain,mpicc,amg,amg2,1,16,3,55.021000000000001,0.93600000000000005,0.16900000000000001,1449151.1875
wpinMain,mpicc,amg,amg3,1,16,1,29.178000000000001,0.95899999999999996,0.17299999999999999,564556.13671875
wpinMain,mpicc,amg,amg3,1,16,2,23.219000000000001,0.93100000000000005,0.17299999999999999,564561.0
wpinMain,mpicc,amg,amg3,1,16,3,24.975000000000001,0.93999999999999995,0.16400000000000001,564553.109375
wpinMain,mpicc,amg,amg4,1,16,1,22.553000000000001,0.94999999999999996,0.154,522241.44140625
wpinMain,mpicc,amg,amg4,1,16,2,22.225999999999999,0.93799999999999994,0.16600000000000001,522247.14453125
wpinMain,mpicc,amg,amg4,1,16,3,26.109000000000002,0.93100000000000005,0.17100000000000001,522236.1640625
wpinMain,mpicc,amg,amg1,4,64,1,198.07400000000001,1.095,0.22,37473622.8671875
wpinMain,mpicc,amg,amg1,4,64,2,243.625,1.0960000000000001,0.19700000000000001,47709741.60546875
wpinMain,mpicc,amg,amg1,4,64,3,300.483,1.0900000000000001,0.19800000000000001,60818573.375
wpinMain,mpicc,amg,amg2,4,64,1,302.32999999999998,1.073,0.218,60014926.93359375
wpinMain,mpicc,amg,amg2,4,64,2,202.779,1.127,0.192,42083586.33984375
wpinMain,mpicc,amg,amg2,4,64,3,155.565,1.0880000000000001,0.20499999999999999,31636676.55078125
wpinMain,mpicc,amg,amg3,4,64,1,140.31899999999999,1.0940000000000001,0.22900000000000001,29775544.171875
wpinMain,mpicc,amg,amg3,4,64,2,143.49700000000001,1.0780000000000001,0.23799999999999999,30356480.08984375
wpinMain,mpicc,amg,amg3,4,64,3,140.92699999999999,1.0860000000000001,0.23400000000000001,29764653.94140625
wpinMain,mpicc,amg,amg4,4,64,1,174.45699999999999,1.127,0.20799999999999999,37030760.671875
wpinMain,mpicc,amg,amg4,4,64,2,230.32499999999999,1.081,0.21099999999999999,42520719.28515625
wpinMain,mpicc,amg,amg4,4,64,3,131.851,1.1120000000000001,0.23100000000000001,27521943.421875
wpinMain,mpicc,hpgmg,fe,1,16,1,52.520000000000003,0.90100000000000002,0.16200000000000001,255832.640625
wpinMain,mpicc,hpgmg,fe,1,16,2,51.076000000000001,0.90600000000000003,0.161,255832.640625
wpinMain,mpicc,hpgmg,fe,1,16,3,50.93,0.91500000000000004,0.16,255832.640625
wpinMain,mpicc,hpgmg,fv1,1,16,1,181.95500000000001,2.0670000000000002,7.085,1405061.6171875
wpinMain,mpicc,hpgmg,fv1,1,16,2,182.774,2.214,7.3090000000000002,1351336.34765625
wpinMain,mpicc,hpgmg,fv1,1,16,3,198.928,2.206,7.1820000000000004,1323623.66796875
wpinMain,mpicc,hpgmg,fv2,1,16,1,118.065,1.0129999999999999,0.93500000000000005,1489002.56640625
wpinMain,mpicc,hpgmg,fv2,1,16,2,236.28300000000002,1.171,1.4019999999999999,2034300.98046875
wpinMain,mpicc,hpgmg,fv2,1,16,3,170.995,1.1839999999999999,1.5940000000000001,2118073.5078125
wpinMain,mpicc,hpgmg,fv3,1,16,1,336.78899999999999,0.95199999999999996,0.24399999999999999,6407245.30078125
wpinMain,mpicc,hpgmg,fv3,1,16,2,330.62799999999999,0.92800000000000005,0.25900000000000001,6590183.5546875
wpinMain,mpicc,hpgmg,fv3,1,16,3,313.14699999999999,0.92000000000000004,0.23599999999999999,6083714.56640625
wpinMain,mpicc,nas,bt,1,16,1,756.55899999999997,0.90300000000000002,0.16400000000000001,29461304.140625
wpinMain,mpicc,nas,bt,1,16,2,651.14099999999996,0.90400000000000003,0.17000000000000001,29461303.953125
wpinMain,mpicc,nas,bt,1,16,3,670.88099999999997,0.91000000000000003,0.17899999999999999,29461304.1171875
wpinMain,mpicc,nas,cg,1,16,1,32.661000000000001,0.90000000000000002,0.17499999999999999,502906.23046875
wpinMain,mpicc,nas,cg,1,16,2,31.088000000000001,0.92500000000000004,0.14899999999999999,502862.4609375
wpinMain,mpicc,nas,cg,1,16,3,34.759,0.92400000000000004,0.16,502861.265625
wpinMain,mpicc,nas,ep,1,16,1,384.13299999999998,0.91500000000000004,0.156,26360527.19140625
wpinMain,mpicc,nas,ep,1,16,2,1763.971,0.91300000000000003,0.223,26360525.0859375
wpinMain,mpicc,nas,ep,1,16,3,385.29000000000002,0.91700000000000004,0.20999999999999999,26360527.15625
wpinMain,mpicc,nas,ft,1,16,1,204.589,0.90700000000000003,0.154,12492175.53125
wpinMain,mpicc,nas,ft,1,16,2,215.13300000000001,0.91000000000000003,0.17799999999999999,12492175.4375
wpinMain,mpicc,nas,ft,1,16,3,220.59899999999999,0.90600000000000003,0.155,12492175.53125
wpinMain,mpicc,nas,is,1,16,1,12.504,0.92500000000000004,0.16800000000000001,1055.03515625
wpinMain,mpicc,nas,is,1,16,2,8.0310000000000006,0.91200000000000003,0.152,1054.90625
wpinMain,mpicc,nas,is,1,16,3,9.6170000000000009,0.90000000000000002,0.16400000000000001,1054.7890625
wpinMain,mpicc,nas,lu,1,16,1,83.847999999999999,0.91200000000000003,0.17199999999999999,286783.19921875
wpinMain,mpicc,nas,lu,1,16,2,80.948000000000008,0.92500000000000004,0.14399999999999999,287039.078125
wpinMain,mpicc,nas,lu,1,16,3,81.472000000000008,0.89600000000000002,0.16800000000000001,286592.72265625
wpinMain,mpicc,nas,mg,1,16,1,20.919,0.91300000000000003,0.17999999999999999,132724.3125
wpinMain,mpicc,nas,mg,1,16,2,16.178000000000001,0.90900000000000003,0.151,132724.79296875
wpinMain,mpicc,nas,mg,1,16,3,17.286000000000001,0.88900000000000001,0.17100000000000001,132724.11328125
wpinMain,mpicc,nas,sp,1,16,1,174.57499999999999,0.90300000000000002,0.16400000000000001,3511832.8359375
wpinMain,mpicc,nas,sp,1,16,2,167.15199999999999,0.90800000000000003,0.16,3511832.8125
wpinMain,mpicc,nas,sp,1,16,3,171.476,0.90600000000000003,0.158,3511832.7421875
