Tool,Compiler,Benchmark,Application,#nodes,#processes,Rep ID,Runtime(s)-real,Runtime(s)-user,Runtime(s)-sys,Size(KB)
callgrind,mpicc,amg,amg1,1,16,1,2214.1860000000001,1.002,0.20599999999999999,8363.9970703125
callgrind,mpicc,amg,amg1,1,16,2,2178.6399999999999,0.98699999999999999,0.22500000000000001,8362.98046875
callgrind,mpicc,amg,amg1,1,16,3,2272.4389999999999,0.97599999999999998,0.23599999999999999,8363.3583984375
callgrind,mpicc,amg,amg2,1,16,1,840.07100000000003,0.95999999999999996,0.23000000000000001,8358.8017578125
callgrind,mpicc,amg,amg2,1,16,2,833.61199999999997,0.97899999999999998,0.20599999999999999,8359.5009765625
callgrind,mpicc,amg,amg2,1,16,3,809.80100000000004,0.96499999999999997,0.224,8358.4072265625
callgrind,mpicc,amg,amg3,1,16,1,188.636,0.96499999999999997,0.23000000000000001,8389.056640625
callgrind,mpicc,amg,amg3,1,16,2,182.71199999999999,0.97699999999999998,0.17799999999999999,8390.353515625
callgrind,mpicc,amg,amg3,1,16,3,174.82999999999998,0.95299999999999996,0.20200000000000001,8389.3369140625
callgrind,mpicc,amg,amg4,1,16,1,158.959,0.97199999999999998,0.185,8383.3681640625
callgrind,mpicc,amg,amg4,1,16,2,158.95600000000002,0.95999999999999996,0.19700000000000001,8382.6259765625
callgrind,mpicc,amg,amg4,1,16,3,157.03899999999999,0.95199999999999996,0.20699999999999999,8382.5703125
callgrind,mpicc,amg,amg1,4,64,1,2458.607,1.165,0.49099999999999999,40051.0556640625
callgrind,mpicc,amg,amg1,4,64,2,2411.4400000000001,1.173,0.47699999999999998,40053.7041015625
callgrind,mpicc,amg,amg1,4,64,3,2545.3539999999998,1.1850000000000001,0.47599999999999998,40058.0634765625
callgrind,mpicc,amg,amg2,4,64,1,977.33000000000004,1.1539999999999999,0.35899999999999999,40075.2939453125
callgrind,mpicc,amg,amg2,4,64,2,935.86000000000001,1.1659999999999999,0.35799999999999998,40077.7666015625
callgrind,mpicc,amg,amg2,4,64,3,976.274,1.1559999999999999,0.374,40084.970703125
callgrind,mpicc,amg,amg3,4,64,1,220.66,1.1379999999999999,0.34799999999999998,39971.0400390625
callgrind,mpicc,amg,amg3,4,64,2,200.24099999999999,1.1539999999999999,0.28599999999999998,39951.1162109375
callgrind,mpicc,amg,amg3,4,64,3,201.21000000000001,1.153,0.28399999999999997,39936.892578125
callgrind,mpicc,amg,amg4,4,64,1,227.346,1.1299999999999999,0.28899999999999998,39903.73046875
callgrind,mpicc,amg,amg4,4,64,2,227.52199999999999,1.141,0.28999999999999998,39906.072265625
callgrind,mpicc,amg,amg4,4,64,3,226.048,1.1259999999999999,0.29899999999999999,39904.3984375
callgrind,mpicc,hpgmg,fe,1,16,1,299.82400000000001,0.93000000000000005,0.17399999999999999,10731.708984375
callgrind,mpicc,hpgmg,fe,1,16,2,296.86099999999999,0.91800000000000004,0.187,10731.3056640625
callgrind,mpicc,hpgmg,fe,1,16,3,295.97899999999998,0.91500000000000004,0.19,10730.193359375
callgrind,mpicc,hpgmg,fv1,1,16,1,167.35399999999998,1.125,1.3640000000000001,5954.12890625
callgrind,mpicc,hpgmg,fv1,1,16,2,166.65199999999999,1.093,1.371,5953.2763671875
callgrind,mpicc,hpgmg,fv1,1,16,3,178.089,1.1579999999999999,1.377,5953.0693359375
callgrind,mpicc,hpgmg,fv2,1,16,1,172.71199999999999,1.032,0.70199999999999996,6275.94921875
callgrind,mpicc,hpgmg,fv2,1,16,2,174.446,1.0409999999999999,0.71799999999999997,6277.2275390625
callgrind,mpicc,hpgmg,fv2,1,16,3,174.34800000000001,0.995,0.77200000000000002,6275.3017578125
callgrind,mpicc,hpgmg,fv3,1,16,1,337.76999999999998,0.93400000000000005,0.33500000000000002,6000.70703125
callgrind,mpicc,hpgmg,fv3,1,16,2,333.07799999999997,0.96399999999999997,0.27400000000000002,6003.611328125
callgrind,mpicc,hpgmg,fv3,1,16,3,339.61099999999999,0.95299999999999996,0.29699999999999999,6002.828125
callgrind,mpicc,hpgmg,fe,4,64,1,354.86700000000002,1.155,0.246,48263.4541015625
callgrind,mpicc,hpgmg,fe,4,64,2,395.06600000000003,1.1759999999999999,0.214,48268.3134765625
callgrind,mpicc,hpgmg,fe,4,64,3,355.05399999999997,1.1519999999999999,0.23699999999999999,48253.22265625
callgrind,mpicc,hpgmg,fv1,4,64,1,172.93099999999998,1.236,0.85499999999999998,29334.451171875
callgrind,mpicc,hpgmg,fv1,4,64,2,173.102,1.2729999999999999,0.81699999999999995,29335.0673828125
callgrind,mpicc,hpgmg,fv1,4,64,3,172.25299999999999,1.2569999999999999,0.83999999999999997,29339.6748046875
callgrind,mpicc,hpgmg,fv2,4,64,1,181.64599999999999,1.206,0.56499999999999995,30000.576171875
callgrind,mpicc,hpgmg,fv2,4,64,2,183.16,1.232,0.53500000000000003,30003.6728515625
callgrind,mpicc,hpgmg,fv2,4,64,3,180.851,1.1950000000000001,0.58199999999999996,30003.8720703125
callgrind,mpicc,hpgmg,fv3,4,64,1,359.40499999999997,1.1870000000000001,0.36699999999999999,30586.21484375
callgrind,mpicc,hpgmg,fv3,4,64,2,350.67700000000002,1.1419999999999999,0.376,30588.9052734375
callgrind,mpicc,hpgmg,fv3,4,64,3,348.13400000000001,1.151,0.375,30588.5634765625
callgrind,mpicc,nas,bt,1,16,1,1039.298,0.95899999999999996,0.184,5713.0185546875
callgrind,mpicc,nas,bt,1,16,2,1022.816,0.95999999999999996,0.18099999999999999,5716.28515625
callgrind,mpicc,nas,bt,1,16,3,1023.9450000000001,0.94099999999999995,0.20200000000000001,5715.904296875
callgrind,mpicc,nas,cg,1,16,1,93.944999999999993,0.97699999999999998,0.17299999999999999,5419.88671875
callgrind,mpicc,nas,cg,1,16,2,93.292000000000002,0.96399999999999997,0.18099999999999999,5419.2236328125
callgrind,mpicc,nas,cg,1,16,3,92.75,0.97999999999999998,0.17199999999999999,5419.169921875
callgrind,mpicc,nas,ep,1,16,1,142.886,0.96099999999999997,0.17899999999999999,5199.07421875
callgrind,mpicc,nas,ep,1,16,2,142.898,0.96499999999999997,0.17699999999999999,5197.4580078125
