Tool,Compiler,Benchmark,Application,#nodes,#processes,Rep ID,Runtime(s)-real,Runtime(s)-user,Runtime(s)-sys,Size(KB)
callgrind,mpicc,amg,amg1,16,256,1,2960.8679999999999,1.4119999999999999,0.38400000000000001,585.5595703125
callgrind,mpicc,amg,amg1,16,256,2,2922.0189999999998,1.5489999999999999,1.286,165135.3544921875
callgrind,mpicc,amg,amg1,16,256,3,2845.7240000000002,1.369,0.41999999999999998,585.3828125
callgrind,mpicc,amg,amg2,16,256,1,1239.828,1.45,1.056,165305.8564453125
callgrind,mpicc,amg,amg2,16,256,2,1216.819,1.484,1.0049999999999999,165299.4345703125
callgrind,mpicc,amg,amg2,16,256,3,1124.3440000000001,1.472,1.036,165281.58203125
callgrind,mpicc,amg,amg3,16,256,1,340.90300000000002,1.4570000000000001,0.81599999999999995,165302.7685546875
callgrind,mpicc,amg,amg3,16,256,2,268.73899999999998,1.423,0.77500000000000002,165202.5791015625
callgrind,mpicc,amg,amg3,16,256,3,265.60899999999998,1.4430000000000001,0.75,165194.33203125
callgrind,mpicc,amg,amg4,16,256,1,266.35300000000001,1.4330000000000001,0.748,165102.9697265625
callgrind,mpicc,amg,amg4,16,256,2,265.46800000000002,1.4079999999999999,0.75800000000000001,165111.3642578125
callgrind,mpicc,amg,amg4,16,256,3,266.11099999999999,1.4219999999999999,0.75,165109.0087890625
callgrind,mpicc,hpgmg,fe,16,256,1,372.83800000000002,1.8660000000000001,0.503,0.0
callgrind,mpicc,hpgmg,fe,16,256,2,379.64300000000003,1.8740000000000001,0.47599999999999998,0.0
callgrind,mpicc,hpgmg,fe,16,256,3,396.10399999999998,1.879,0.47499999999999998,0.0
callgrind,mpicc,hpgmg,fv1,16,256,1,143.21600000000001,1.95,0.67500000000000004,0.0
callgrind,mpicc,hpgmg,fv1,16,256,2,142.43700000000001,1.9359999999999999,0.70599999999999996,0.0
callgrind,mpicc,hpgmg,fv1,16,256,3,141.76599999999999,1.9370000000000001,0.63700000000000001,0.0
callgrind,mpicc,hpgmg,fv2,16,256,1,180.101,1.9179999999999999,0.82599999999999996,0.0
callgrind,mpicc,hpgmg,fv2,16,256,2,179.79300000000001,1.9550000000000001,0.77500000000000002,0.0
callgrind,mpicc,hpgmg,fv2,16,256,3,179.779,1.9099999999999999,0.85399999999999998,0.0
callgrind,mpicc,hpgmg,fv3,16,256,1,364.40199999999999,1.9570000000000001,0.57699999999999996,0.0
callgrind,mpicc,hpgmg,fv3,16,256,2,353.31299999999999,1.9119999999999999,0.56899999999999995,0.0
callgrind,mpicc,hpgmg,fv3,16,256,3,354.75400000000002,1.9159999999999999,0.56999999999999995,0.0
callgrind,mpicc,nas,bt,16,256,1,83.320999999999998,1.869,0.39000000000000001,0.0
callgrind,mpicc,nas,bt,16,256,2,83.472000000000008,1.8600000000000001,0.41099999999999998,0.0
callgrind,mpicc,nas,bt,16,256,3,83.850999999999999,1.8620000000000001,0.40899999999999997,0.0
callgrind,mpicc,nas,cg,16,256,1,24.559999999999999,1.879,0.45100000000000001,0.0
callgrind,mpicc,nas,cg,16,256,2,24.521999999999998,1.8700000000000001,0.41699999999999998,0.0
callgrind,mpicc,nas,cg,16,256,3,24.259,1.8600000000000001,0.42299999999999999,0.0
callgrind,mpicc,nas,ep,16,256,1,15.041,1.8759999999999999,0.38900000000000001,0.0
callgrind,mpicc,nas,ep,16,256,2,15.002000000000001,1.8400000000000001,0.432,0.0
callgrind,mpicc,nas,ep,16,256,3,16.529,1.8959999999999999,0.375,0.0
callgrind,mpicc,nas,ft,16,256,1,30.657,1.8740000000000001,0.45100000000000001,0.0
callgrind,mpicc,nas,ft,16,256,2,32.539999999999999,1.8640000000000001,0.47099999999999997,0.0
callgrind,mpicc,nas,ft,16,256,3,30.902000000000001,1.9019999999999999,0.41399999999999998,0.0
callgrind,mpicc,nas,is,16,256,1,17.260000000000002,1.8620000000000001,0.45200000000000001,0.0
callgrind,mpicc,nas,is,16,256,2,17.263000000000002,1.885,0.45900000000000002,0.0
callgrind,mpicc,nas,is,16,256,3,18.760999999999999,1.8779999999999999,0.443,0.0
callgrind,mpicc,nas,lu,16,256,1,58.847000000000001,1.871,0.40200000000000002,0.0
callgrind,mpicc,nas,lu,16,256,2,56.899999999999999,1.877,0.40400000000000003,0.0
callgrind,mpicc,nas,lu,16,256,3,58.463999999999999,1.8959999999999999,0.41999999999999998,0.0
callgrind,mpicc,nas,mg,16,256,1,20.228999999999999,1.9019999999999999,0.434,0.0
callgrind,mpicc,nas,mg,16,256,2,10.257,1.853,0.40699999999999997,0.0
callgrind,mpicc,nas,mg,16,256,3,11.244,1.891,0.42999999999999999,0.0
callgrind,mpicc,nas,sp,16,256,1,53.695,1.8500000000000001,0.42899999999999999,0.0
callgrind,mpicc,nas,sp,16,256,2,53.386000000000003,1.8440000000000001,0.433,0.0
callgrind,mpicc,nas,sp,16,256,3,53.540999999999997,1.8600000000000001,0.40600000000000003,0.0
callgrind,mpicc,pkifmm,ex0-1,16,256,1,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex0-1,16,256,2,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex0-1,16,256,3,0.0,0.0,0.0,9809.03515625
callgrind,mpicc,pkifmm,ex0-2,16,256,1,0.0,0.0,0.0,355774.7060546875
callgrind,mpicc,pkifmm,ex0-2,16,256,2,0.0,0.0,0.0,278023.7529296875
callgrind,mpicc,pkifmm,ex0-2,16,256,3,0.0,0.0,0.0,174192.0
callgrind,mpicc,pkifmm,ex1-1,16,256,1,0.0,0.0,0.0,351903.337890625
callgrind,mpicc,pkifmm,ex1-1,16,256,2,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex1-1,16,256,3,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex1-2,16,256,1,0.0,0.0,0.0,10398.2138671875
callgrind,mpicc,pkifmm,ex1-2,16,256,2,0.0,0.0,0.0,8822.4462890625
callgrind,mpicc,pkifmm,ex1-2,16,256,3,0.0,0.0,0.0,263488.1142578125
callgrind,mpicc,pkifmm,ex2-1,16,256,1,0.0,0.0,0.0,352284.65625
callgrind,mpicc,pkifmm,ex2-1,16,256,2,0.0,0.0,0.0,352286.7392578125
callgrind,mpicc,pkifmm,ex2-1,16,256,3,0.0,0.0,0.0,352288.0009765625
callgrind,mpicc,pkifmm,ex2-2,16,256,1,0.0,0.0,0.0,353400.41796875
callgrind,mpicc,pkifmm,ex2-2,16,256,2,0.0,0.0,0.0,353381.52734375
callgrind,mpicc,pkifmm,ex2-2,16,256,3,0.0,0.0,0.0,219730.62890625
callgrind,mpicc,pkifmm,ex3-1,16,256,1,0.0,0.0,0.0,85732.0546875
callgrind,mpicc,pkifmm,ex3-1,16,256,2,0.0,0.0,0.0,11204.484375
callgrind,mpicc,pkifmm,ex3-1,16,256,3,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex3-2,16,256,1,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex3-2,16,256,2,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex3-2,16,256,3,0.0,0.0,0.0,8516.025390625
orig,mpicc,amg,amg1,16,256,1,61.893999999999998,2.2429999999999999,0.41499999999999998,0.0
orig,mpicc,amg,amg1,16,256,2,52.619999999999997,2.27,0.39900000000000002,0.0
orig,mpicc,amg,amg1,16,256,3,53.286000000000001,2.2690000000000001,0.39100000000000001,0.0
orig,mpicc,amg,amg2,16,256,1,29.411000000000001,2.2799999999999998,0.375,0.0
orig,mpicc,amg,amg2,16,256,2,32.128,2.2770000000000001,0.38700000000000001,0.0
orig,mpicc,amg,amg2,16,256,3,39.399000000000001,2.2629999999999999,0.40300000000000002,0.0
orig,mpicc,amg,amg3,16,256,1,22.524999999999999,2.2709999999999999,0.5,0.0
orig,mpicc,amg,amg3,16,256,2,14.497999999999999,2.282,0.375,0.0
orig,mpicc,amg,amg3,16,256,3,14.593,2.2829999999999999,0.379,0.0
orig,mpicc,amg,amg4,16,256,1,13.93,2.2570000000000001,0.39900000000000002,0.0
orig,mpicc,amg,amg4,16,256,2,14.298999999999999,2.2679999999999998,0.375,0.0
orig,mpicc,amg,amg4,16,256,3,24.390999999999998,2.27,0.38500000000000001,0.0
orig,tau,amg,amg1,16,256,1,8.4589999999999996,2.3399999999999999,0.48799999999999999,0.0
orig,tau,amg,amg1,16,256,2,4.6470000000000002,2.331,0.47799999999999998,0.0
orig,tau,amg,amg1,16,256,3,4.7039999999999997,2.3540000000000001,0.47199999999999998,0.0
orig,tau,amg,amg2,16,256,1,6.7149999999999999,2.3370000000000002,0.66500000000000004,0.0
orig,tau,amg,amg2,16,256,2,7.9710000000000001,2.3250000000000002,0.51900000000000002,0.0
orig,tau,amg,amg2,16,256,3,4.617,2.3519999999999999,0.56499999999999995,0.0
orig,tau,amg,amg3,16,256,1,13.512,2.3620000000000001,0.52600000000000002,0.0
orig,tau,amg,amg3,16,256,2,7.8170000000000002,2.3330000000000002,0.48499999999999999,0.0
orig,tau,amg,amg3,16,256,3,4.7640000000000002,2.3610000000000002,0.443,0.0
orig,tau,amg,amg4,16,256,1,8.2530000000000001,2.3450000000000002,0.51300000000000001,0.0
orig,tau,amg,amg4,16,256,2,4.6550000000000002,2.3250000000000002,0.55400000000000005,0.0
orig,tau,amg,amg4,16,256,3,6.782,2.3610000000000002,0.625,0.0
orig,mpicc,hpgmg,fe,16,256,1,15.904999999999999,2.641,0.51100000000000001,0.0
orig,mpicc,hpgmg,fe,16,256,2,15.177,2.6600000000000001,0.45900000000000002,0.0
orig,mpicc,hpgmg,fe,16,256,3,15.773,2.6579999999999999,0.44900000000000001,0.0
orig,mpicc,hpgmg,fv1,16,256,1,147.09700000000001,2.7770000000000001,3.8170000000000002,0.0
orig,mpicc,hpgmg,fv1,16,256,2,146.31,2.8959999999999999,4.2729999999999997,0.0
orig,mpicc,hpgmg,fv1,16,256,3,145.40800000000002,2.835,3.633,0.0
orig,mpicc,hpgmg,fv2,16,256,1,177.023,2.9870000000000001,4.766,0.0
orig,mpicc,hpgmg,fv2,16,256,2,161.67599999999999,2.9409999999999998,4.0570000000000004,0.0
orig,mpicc,hpgmg,fv2,16,256,3,178.834,2.952,4.0110000000000001,0.0
orig,mpicc,hpgmg,fv3,16,256,1,210.62799999999999,2.343,1.2110000000000001,0.0
orig,mpicc,hpgmg,fv3,16,256,2,216.67599999999999,2.3370000000000002,0.84099999999999997,0.0
orig,mpicc,hpgmg,fv3,16,256,3,199.80199999999999,2.3599999999999999,1.002,0.0
orig,mpicc,nas,bt,16,256,1,11.519,2.2360000000000002,0.42099999999999999,0.0
orig,mpicc,nas,bt,16,256,2,9.4220000000000006,2.2269999999999999,0.42899999999999999,0.0
orig,mpicc,nas,bt,16,256,3,8.8409999999999993,2.278,0.377,0.0
orig,mpicc,nas,cg,16,256,1,8.6839999999999993,2.2330000000000001,0.40699999999999997,0.0
