Tool,Compiler,Benchmark,Application,#nodes,#processes,avg Runtime(s)-real,avg Runtime(s)-user, avg Size(KB)
callgrind,mpicc,nas,bt,1,16,4.5549999999999997,60.366,202.4951171875
callgrind,mpicc,nas,cg,1,16,4.6470000000000002,60.968000000000004,202.46484375
callgrind,mpicc,nas,ep,1,16,4.5819999999999999,60.185000000000002,202.490234375
callgrind,mpicc,nas,ft,1,16,4.9530000000000003,61.003999999999998,202.6494140625
callgrind,mpicc,nas,is,1,16,3.9910000000000001,51.878,174.5009765625
callgrind,mpicc,nas,lu,1,16,4.6150000000000002,60.587000000000003,202.685546875
callgrind,mpicc,nas,mg,1,16,3.6499999999999999,22.446999999999999,160.58203125
callgrind,mpicc,nas,sp,1,16,4.5620000000000003,60.674999999999997,202.7763671875
callgrind,mpicc,pkifmm,ex0-1,1,16,5.383,72.442000000000007,228.5517578125
callgrind,mpicc,pkifmm,ex0-2,1,16,5.8460000000000001,72.760999999999996,228.841796875
callgrind,mpicc,pkifmm,ex1-1,1,16,5.3239999999999998,72.280000000000001,228.28515625
callgrind,mpicc,pkifmm,ex1-2,1,16,5.5039999999999996,73.475999999999999,228.25390625
callgrind,mpicc,pkifmm,ex2-1,1,16,5.6820000000000004,72.840999999999994,227.8720703125
callgrind,mpicc,pkifmm,ex2-2,1,16,5.3630000000000004,72.293999999999997,228.32421875
callgrind,mpicc,pkifmm,ex3-1,1,16,5.3650000000000002,72.094999999999999,228.25390625
callgrind,mpicc,pkifmm,ex3-2,1,16,5.3529999999999998,72.347999999999999,228.4619140625
orig,tau,amg,amg1,1,16,0.0,0.0,0.0
orig,tau,amg,amg2,1,16,0.0,0.0,0.0
orig,tau,amg,amg3,1,16,0.0,0.0,0.0
orig,tau,amg,amg4,1,16,0.0,0.0,0.0
orig,scorep,hpgmg,fe,1,16,0.0,0.0,0.0
orig,scorep,hpgmg,fv1,1,16,0.0,0.0,0.0
orig,scorep,hpgmg,fv2,1,16,0.0,0.0,0.0
orig,scorep,hpgmg,fv3,1,16,0.0,0.0,0.0
orig,mpicc,nas,bt,1,16,256.19400000000002,4079.7649999999999,0.0
orig,mpicc,nas,cg,1,16,33.408999999999999,516.17899999999997,0.0
orig,mpicc,nas,ep,1,16,41.740000000000002,658.96900000000005,0.0
orig,mpicc,nas,ft,1,16,71.332999999999998,1111.027,0.0
orig,mpicc,nas,is,1,16,5.3049999999999997,73.438999999999993,0.0
orig,mpicc,nas,lu,1,16,197.83500000000001,3153.4059999999999,0.0
orig,mpicc,nas,mg,1,16,0.39500000000000002,0.16500000000000001,0.0
orig,mpicc,nas,sp,1,16,134.988,2133.8690000000001,0.0
orig,scorep,nas,bt,1,16,256.88999999999999,4088.645,12252.353515625
orig,scorep,nas,cg,1,16,30.259,463.39300000000003,27541.701171875
orig,scorep,nas,ep,1,16,42.420999999999999,667.24300000000005,111.4560546875
orig,scorep,nas,ft,1,16,72.680000000000007,1129.8389999999999,145.44140625
orig,scorep,nas,is,1,16,5.827,79.594999999999999,141.1435546875
orig,scorep,nas,lu,1,16,203.12200000000001,3234.9299999999998,163388.4111328125
orig,scorep,nas,mg,1,16,12.917,189.863,6558.4609375
orig,scorep,nas,sp,1,16,136.06399999999999,2149.2600000000002,21159.3095703125
orig,tau,nas,bt,1,16,0.0,0.0,0.0
orig,tau,nas,cg,1,16,0.0,0.0,0.0
orig,tau,nas,ep,1,16,0.0,0.0,0.0
orig,tau,nas,ft,1,16,0.0,0.0,0.0
orig,tau,nas,is,1,16,0.0,0.0,0.0
orig,tau,nas,lu,1,16,0.0,0.0,0.0
orig,tau,nas,mg,1,16,0.0,0.0,0.0
orig,tau,nas,sp,1,16,0.0,0.0,0.0
orig,mpicc,pkifmm,ex0-1,1,16,230.94900000000001,3474.4960000000001,0.0
orig,mpicc,pkifmm,ex0-2,1,16,605.01599999999996,8897.4490000000005,0.0
orig,mpicc,pkifmm,ex1-1,1,16,241.96700000000001,3630.4389999999999,0.0
orig,mpicc,pkifmm,ex1-2,1,16,638.46000000000004,9391.8310000000001,0.0
