Experiment,Slowdown PIN-None (Main), Slowdown PIN (Main),Slowdown PIN-None (All), Slowdown PIN (All)
mpicc.nas.bt.1,1.58,1.65,1.61,1.51
mpicc.nas.bt.16,1.67,1.81,2.35,2.11
mpicc.nas.bt.4,1.87,2.07,1.97,1.87
mpicc.nas.bt.64,2.07,8.19,2.37,3.58
mpicc.nas.cg.1,1.26,1.26,1.39,1.41
mpicc.nas.cg.16,1.98,1.74,2.34,2.17
mpicc.nas.cg.4,1.90,2.08,1.98,2.01
mpicc.nas.cg.64,2.34,2.62,2.53,4.49
mpicc.nas.ep.1,2.59,3.56,2.86,3.81
mpicc.nas.ep.16,2.44,1.98,2.59,2.88
mpicc.nas.ep.4,2.39,2.48,2.65,2.87
mpicc.nas.ep.64,2.77,2.54,3.07,5.69
mpicc.nas.ft.1,1.25,1.79,1.36,1.87
mpicc.nas.ft.16,1.85,1.49,2.21,2.02
mpicc.nas.ft.4,1.41,1.58,1.61,1.72
mpicc.nas.ft.64,4.14,4.47,4.11,4.06
mpicc.nas.is.1,1.60,1.27,1.91,1.66
mpicc.nas.is.16,2.34,1.55,2.36,2.28
mpicc.nas.is.4,1.77,1.41,2.12,1.95
mpicc.nas.is.64,10.28,8.95,4.07,3.86
mpicc.nas.lu.1,1.22,1.20,1.24,1.26
mpicc.nas.lu.16,2.24,2.16,2.57,2.48
mpicc.nas.lu.4,1.34,1.39,1.62,1.59
mpicc.nas.lu.64,3.52,3.92,2.91,7.83
mpicc.nas.mg.1,1.29,1.33,1.46,1.58
mpicc.nas.mg.16,1.61,1.61,2.31,2.27
mpicc.nas.mg.4,1.67,1.70,1.95,2.20
mpicc.nas.mg.64,1.36,1.85,1.80,4.63
mpicc.nas.sp.1,1.07,1.06,1.09,1.09
mpicc.nas.sp.16,1.38,1.48,1.66,1.72
mpicc.nas.sp.4,1.39,1.40,1.54,1.60
mpicc.nas.sp.64,1.68,1.97,2.10,2.96
