Job,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,percentage,AVG of Slowdowns
callgrind.mpicc.nas.is.4,2.02,1.98,1.00,2.02,1.98,1.00,2.20,2.16,1.09,0.22,1.72
callgrind.mpicc.nas.mg.16,2.42,2.40,0.88,2.65,2.64,0.97,4.76,4.74,1.75,0.22,2.58
callgrind.mpicc.nas.mg.64,2.35,2.31,0.73,2.48,2.44,0.77,6.15,6.06,1.91,0.22,2.80
orig.scorep.nas.bt.1,1.01,1.00,0.99,1.01,1.01,1.00,1.01,1.01,1.00,0.11,1.01
orig.scorep.nas.bt.16,1.09,1.02,0.84,1.62,1.52,1.24,1.80,1.69,1.38,0.11,1.36
orig.scorep.nas.cg.1,1.02,1.02,0.94,1.02,1.02,0.94,1.04,1.04,0.96,0.33,1.00
orig.scorep.nas.cg.16,0.79,0.77,0.68,0.84,0.81,0.71,1.05,1.01,0.89,0.78,0.84
orig.scorep.nas.cg.4,1.12,1.10,0.95,1.12,1.10,0.95,1.25,1.23,1.06,0.22,1.10
orig.scorep.nas.ep.1,1.03,1.03,0.88,1.14,1.14,0.97,1.17,1.16,0.99,0.33,1.06
orig.scorep.nas.ep.16,1.23,0.93,0.80,1.24,0.94,0.80,1.59,1.20,1.03,0.44,1.08
orig.scorep.nas.ep.4,1.09,0.93,0.81,1.09,0.93,0.81,1.25,1.07,0.93,0.56,0.99
orig.scorep.nas.ft.1,1.01,1.01,0.94,1.02,1.01,0.94,1.02,1.02,0.94,0.33,0.99
orig.scorep.nas.ft.16,0.93,0.92,0.92,1.08,1.07,1.07,1.15,1.15,1.15,0.33,1.05
orig.scorep.nas.ft.4,0.98,0.96,0.94,0.98,0.96,0.94,1.06,1.03,1.02,0.67,0.99
orig.scorep.nas.is.1,1.06,0.92,0.79,1.32,1.14,0.98,1.39,1.20,1.04,0.33,1.09
orig.scorep.nas.is.16,1.04,1.04,0.74,1.05,1.05,0.74,1.14,1.14,0.81,0.33,0.97
orig.scorep.nas.is.4,1.14,1.12,0.56,1.42,1.39,0.70,1.50,1.48,0.74,0.33,1.12
orig.scorep.nas.is.64,1.44,1.25,0.87,1.54,1.35,0.94,1.61,1.40,0.97,0.33,1.26
orig.scorep.nas.lu.16,1.19,1.19,0.96,1.20,1.20,0.96,1.41,1.41,1.13,0.22,1.18
orig.scorep.nas.lu.4,1.05,1.05,1.00,1.05,1.05,1.01,1.06,1.06,1.02,0.11,1.04
orig.scorep.nas.mg.1,1.05,1.04,0.61,1.05,1.04,0.61,1.53,1.52,0.89,0.33,1.04
orig.scorep.nas.mg.16,1.21,1.21,0.44,1.52,1.51,0.56,2.96,2.95,1.09,0.22,1.49
orig.scorep.nas.mg.4,1.11,1.07,0.52,1.29,1.25,0.61,2.36,2.29,1.11,0.22,1.29
orig.scorep.nas.mg.64,1.48,1.46,0.46,1.59,1.57,0.49,3.55,3.49,1.10,0.22,1.69
orig.scorep.nas.sp.1,1.01,1.01,1.00,1.01,1.01,1.00,1.02,1.02,1.01,0.11,1.01
orig.scorep.nas.sp.16,0.82,0.82,0.80,1.18,1.18,1.15,1.19,1.19,1.16,0.33,1.05
orig.scorep.nas.sp.4,1.05,1.05,0.97,1.05,1.05,0.97,1.05,1.05,0.98,0.33,1.02
orig.tau.nas.bt.1,1.00,1.00,0.99,1.01,1.01,0.99,1.01,1.01,1.00,0.33,1.00
orig.tau.nas.cg.1,1.06,1.06,0.98,1.06,1.06,0.98,1.17,1.17,1.08,0.22,1.07
orig.tau.nas.ep.1,1.02,1.02,0.87,1.02,1.02,0.87,1.03,1.02,0.87,0.33,0.97
