Experiment,1/16,4/64,16/256,64/1024
callgrind.mpicc.nas.bt,10.93,14.14,9.48,7.63
callgrind.mpicc.nas.cg,4.83,4.83,3.18,2.61
callgrind.mpicc.nas.ep,11.10,5.25,4.34,2.01
callgrind.mpicc.nas.ft,12.28,6.37,3.58,3.74
callgrind.mpicc.nas.is,2.17,1.00,2.60,5.88
callgrind.mpicc.nas.lu,7.72,7.15,5.85,5.55
callgrind.mpicc.nas.mg,4.99,3.37,2.65,2.48
callgrind.mpicc.nas.sp,3.82,6.08,4.33,4.58
orig.scorep.nas.bt,1.00,1.04,1.09,1.89
orig.scorep.nas.cg,1.02,1.12,0.81,2.23
orig.scorep.nas.ep,0.97,0.81,1.59,1.72
orig.scorep.nas.ft,1.01,0.94,1.15,2.28
orig.scorep.nas.is,1.04,0.56,0.81,1.44
orig.scorep.nas.lu,1.00,1.05,1.13,1.86
orig.scorep.nas.mg,1.04,1.29,1.52,1.59
orig.scorep.nas.sp,1.00,1.05,1.19,2.02
orig.tau.nas.bt,0.99,1.05,1.44,2.52
orig.tau.nas.cg,1.06,1.34,1.23,1.84
orig.tau.nas.ep,0.87,0.97,1.09,3.38
orig.tau.nas.ft,1.00,0.89,0.91,1.23
orig.tau.nas.is,1.03,0.66,0.71,1.62
orig.tau.nas.lu,1.13,1.64,3.01,3.81
orig.tau.nas.mg,1.04,1.13,1.26,1.79
orig.tau.nas.sp,1.00,1.08,1.10,3.30
pinAll.mpicc.nas.bt,1.51,1.87,2.35,4.07
pinAll.mpicc.nas.cg,1.44,2.12,2.26,3.17
pinAll.mpicc.nas.ep,3.45,2.61,3.50,10.28
pinAll.mpicc.nas.ft,1.92,1.69,2.12,3.97
pinAll.mpicc.nas.is,1.45,1.34,1.90,2.39
pinAll.mpicc.nas.lu,1.24,1.56,2.19,5.71
pinAll.mpicc.nas.mg,1.92,2.40,3.25,7.49
pinAll.mpicc.nas.sp,1.09,1.57,1.51,4.11
pinMain.mpicc.nas.bt,1.63,1.96,2.06,10.15
pinMain.mpicc.nas.cg,1.29,2.43,1.89,2.45
pinMain.mpicc.nas.ep,3.19,2.23,2.49,2.37
pinMain.mpicc.nas.ft,1.81,1.62,1.48,10.00
pinMain.mpicc.nas.is,1.10,1.00,1.23,10.15
pinMain.mpicc.nas.lu,1.19,1.44,1.75,3.45
pinMain.mpicc.nas.mg,1.45,1.94,2.33,3.66
pinMain.mpicc.nas.sp,1.05,1.44,1.97,2.48
tau_exec.mpicc.nas.bt,1.01,1.13,1.23,2.69
tau_exec.mpicc.nas.cg,1.04,1.21,1.19,1.92
tau_exec.mpicc.nas.ep,0.82,0.71,0.94,1.75
tau_exec.mpicc.nas.ft,0.98,0.88,1.04,1.65
tau_exec.mpicc.nas.is,0.95,0.68,0.78,1.88
tau_exec.mpicc.nas.lu,1.13,1.56,2.25,4.19
tau_exec.mpicc.nas.mg,1.01,1.03,1.03,1.67
tau_exec.mpicc.nas.sp,0.99,1.07,1.03,4.05
