Job,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,percentage,avg
callgrind.mpicc.nas.is.4.64,2.16,2.20,1.09,1.98,2.02,1.00,1.98,2.02,1.00,0.22,1.72
callgrind.mpicc.nas.mg.16.256,1.75,4.74,4.76,0.88,2.40,2.42,0.97,2.64,2.65,0.22,2.58
callgrind.mpicc.nas.mg.64.1024,1.91,6.06,6.15,0.73,2.31,2.35,0.77,2.44,2.48,0.22,2.80
orig.scorep.nas.bt.1.16,1.01,1.01,1.00,1.00,1.01,0.99,1.01,1.01,1.00,0.11,1.01
orig.scorep.nas.bt.16.256,1.38,1.69,1.80,1.24,1.52,1.62,0.84,1.02,1.09,0.11,1.36
orig.scorep.nas.cg.1.16,1.02,0.94,1.02,1.04,0.96,1.04,1.02,0.94,1.02,0.33,1.00
orig.scorep.nas.cg.16.256,0.89,1.05,1.01,0.68,0.79,0.77,0.71,0.84,0.81,0.78,0.84
orig.scorep.nas.cg.4.64,1.23,1.06,1.25,1.10,0.95,1.12,1.10,0.95,1.12,0.22,1.10
orig.scorep.nas.ep.1.16,1.03,1.03,0.88,1.16,1.17,0.99,1.14,1.14,0.97,0.33,1.06
orig.scorep.nas.ep.16.256,0.80,0.94,1.24,0.80,0.93,1.23,1.03,1.20,1.59,0.44,1.08
orig.scorep.nas.ep.4.64,1.25,1.07,0.93,1.09,0.93,0.81,1.09,0.93,0.81,0.56,0.99
orig.scorep.nas.ft.1.16,1.01,0.94,1.02,1.02,0.94,1.02,1.01,0.94,1.01,0.33,0.99
orig.scorep.nas.ft.16.256,0.93,0.92,0.92,1.08,1.07,1.07,1.15,1.15,1.15,0.33,1.05
orig.scorep.nas.ft.4.64,1.03,1.06,1.02,0.96,0.98,0.94,0.96,0.98,0.94,0.67,0.99
orig.scorep.nas.is.1.16,0.92,1.06,0.79,1.14,1.32,0.98,1.20,1.39,1.04,0.33,1.09
orig.scorep.nas.is.16.256,1.04,1.04,0.74,1.05,1.05,0.74,1.14,1.14,0.81,0.33,0.97
orig.scorep.nas.is.4.64,1.39,1.42,0.70,1.48,1.50,0.74,1.12,1.14,0.56,0.33,1.12
orig.scorep.nas.is.64.1024,1.40,0.97,1.61,1.35,0.94,1.54,1.25,0.87,1.44,0.33,1.26
orig.scorep.nas.lu.16.256,1.20,1.20,0.96,1.19,1.19,0.96,1.41,1.41,1.13,0.22,1.18
orig.scorep.nas.lu.4.64,1.06,1.02,1.06,1.05,1.01,1.05,1.05,1.00,1.05,0.11,1.04
orig.scorep.nas.mg.1.16,0.89,1.53,1.52,0.61,1.05,1.04,0.61,1.05,1.04,0.33,1.04
orig.scorep.nas.mg.16.256,1.09,2.95,2.96,0.44,1.21,1.21,0.56,1.51,1.52,0.22,1.49
orig.scorep.nas.mg.4.64,1.11,2.29,2.36,0.52,1.07,1.11,0.61,1.25,1.29,0.22,1.29
orig.scorep.nas.mg.64.1024,1.10,3.49,3.55,0.46,1.46,1.48,0.49,1.57,1.59,0.22,1.69
orig.scorep.nas.sp.1.16,1.02,1.02,1.01,1.01,1.01,1.00,1.01,1.01,1.00,0.11,1.01
orig.scorep.nas.sp.16.256,0.82,0.80,0.82,1.18,1.15,1.18,1.19,1.16,1.19,0.33,1.05
orig.scorep.nas.sp.4.64,0.98,1.05,1.05,0.97,1.05,1.05,0.97,1.05,1.05,0.33,1.02
