Experiment,1/16,4/64,16/256,64/1024
callgrind.mpicc.nas.bt,11.06,12.99,8.42,6.04
callgrind.mpicc.nas.cg,4.73,4.52,3.09,3.61
callgrind.mpicc.nas.ep,12.28,6.13,3.17,2.21
callgrind.mpicc.nas.ft,11.81,6.52,3.64,3.69
callgrind.mpicc.nas.is,2.48,1.54,3.06,8.87
callgrind.mpicc.nas.lu,7.78,7.06,6.70,5.70
callgrind.mpicc.nas.mg,4.13,2.82,2.08,2.09
callgrind.mpicc.nas.sp,3.84,5.96,4.29,5.33
orig.scorep.nas.bt,1.01,1.04,1.34,1.60
orig.scorep.nas.cg,1.00,1.09,0.83,1.86
orig.scorep.nas.ep,1.05,0.98,1.05,1.56
orig.scorep.nas.ft,0.99,0.99,1.05,1.78
orig.scorep.nas.is,1.08,1.00,0.95,1.21
orig.scorep.nas.lu,1.01,1.04,1.17,1.86
orig.scorep.nas.mg,0.98,1.15,1.20,1.26
orig.scorep.nas.sp,1.01,1.02,1.05,1.64
orig.tau.nas.bt,1.00,1.09,1.22,2.00
orig.tau.nas.cg,1.07,1.24,1.29,1.91
orig.tau.nas.ep,0.97,1.09,0.99,4.04
orig.tau.nas.ft,1.00,0.94,0.94,1.25
orig.tau.nas.is,1.07,0.97,0.96,1.16
orig.tau.nas.lu,1.14,1.57,2.82,4.48
orig.tau.nas.mg,0.96,1.22,1.17,1.63
orig.tau.nas.sp,1.01,1.06,1.06,2.57
pinAll.mpicc.nas.bt,1.51,1.87,2.11,3.58
pinAll.mpicc.nas.cg,1.41,2.01,2.17,4.49
pinAll.mpicc.nas.ep,3.81,2.87,2.88,5.69
pinAll.mpicc.nas.ft,1.87,1.72,2.02,4.06
pinAll.mpicc.nas.is,1.66,1.95,2.28,3.86
pinAll.mpicc.nas.lu,1.26,1.59,2.48,7.83
pinAll.mpicc.nas.mg,1.58,2.20,2.27,4.63
pinAll.mpicc.nas.sp,1.09,1.60,1.72,2.96
pinMain.mpicc.nas.bt,1.65,2.07,1.81,8.19
pinMain.mpicc.nas.cg,1.26,2.08,1.74,2.62
pinMain.mpicc.nas.ep,3.56,2.48,1.98,2.54
pinMain.mpicc.nas.ft,1.79,1.58,1.49,4.47
pinMain.mpicc.nas.is,1.27,1.41,1.55,8.95
pinMain.mpicc.nas.lu,1.20,1.39,2.16,3.92
pinMain.mpicc.nas.mg,1.33,1.70,1.61,1.85
pinMain.mpicc.nas.sp,1.06,1.40,1.48,1.97
tau_exec.mpicc.nas.bt,1.00,1.06,1.25,2.38
tau_exec.mpicc.nas.cg,1.01,1.10,1.08,2.74
tau_exec.mpicc.nas.ep,0.94,0.86,0.86,1.93
tau_exec.mpicc.nas.ft,0.96,0.87,1.02,1.54
tau_exec.mpicc.nas.is,0.92,0.81,0.83,1.54
tau_exec.mpicc.nas.lu,1.14,1.53,2.56,4.94
tau_exec.mpicc.nas.mg,0.96,1.00,0.88,1.38
tau_exec.mpicc.nas.sp,1.00,1.05,1.03,3.19
