Experiment,Runtime Variance, Runtime Ratio, Size Variance, Size Ratio
callgrind.mpicc.nas.bt.1.16,56.52,0.02,2.13,0.02
callgrind.mpicc.nas.cg.1.16,0.24,0.01,0.11,0.01
callgrind.mpicc.nas.ep.1.16,0.22,0.01,0.48,0.01
callgrind.mpicc.nas.ft.1.16,6.45,0.02,0.00,0.02
callgrind.mpicc.nas.is.1.16,0.13,0.05,0.54,0.05
callgrind.mpicc.nas.lu.1.16,0.82,0.00,1.46,0.00
callgrind.mpicc.nas.mg.1.16,4.62,0.10,0.52,0.10
callgrind.mpicc.nas.sp.1.16,0.27,0.00,0.09,0.00
callgrind.mpicc.nas.bt.4.64,449.98,0.17,27.59,0.17
callgrind.mpicc.nas.cg.4.64,0.03,0.01,3.49,0.01
callgrind.mpicc.nas.ep.4.64,0.59,0.04,10.59,0.04
callgrind.mpicc.nas.ft.4.64,0.19,0.01,28.00,0.01
callgrind.mpicc.nas.is.4.64,0.16,0.09,2.64,0.09
callgrind.mpicc.nas.lu.4.64,0.28,0.01,0.61,0.01
callgrind.mpicc.nas.mg.4.64,13.68,0.39,19.89,0.39
callgrind.mpicc.nas.sp.4.64,0.46,0.01,4.61,0.01
callgrind.mpicc.nas.bt.16.256,0.05,0.01,9.62,0.01
callgrind.mpicc.nas.cg.16.256,0.02,0.01,23.19,0.01
callgrind.mpicc.nas.ep.16.256,0.51,0.10,213.51,0.10
callgrind.mpicc.nas.ft.16.256,0.70,0.06,16.23,0.06
callgrind.mpicc.nas.is.16.256,0.50,0.08,3.13,0.08
callgrind.mpicc.nas.lu.16.256,0.71,0.03,438.93,0.03
callgrind.mpicc.nas.mg.16.256,20.13,0.72,105.07,0.72
callgrind.mpicc.nas.sp.16.256,0.02,0.01,786.58,0.01
callgrind.mpicc.nas.bt.64.1024,37.20,0.29,29267.50,0.29
callgrind.mpicc.nas.cg.64.1024,43.64,0.58,2424.37,0.58
callgrind.mpicc.nas.ep.64.1024,0.72,0.18,242.54,0.18
callgrind.mpicc.nas.ft.64.1024,0.43,0.04,11011.49,0.04
callgrind.mpicc.nas.is.64.1024,1188.92,0.77,2316.71,0.77
callgrind.mpicc.nas.lu.64.1024,5.80,0.14,2008.05,0.14
callgrind.mpicc.nas.mg.64.1024,70.63,1.04,2709.55,1.04
callgrind.mpicc.nas.sp.64.1024,105.10,0.48,131651.18,0.48
orig.mpicc.nas.bt.1.16,0.26,0.01,0.00,0.01
orig.mpicc.nas.cg.1.16,0.58,0.08,0.00,0.08
orig.mpicc.nas.ep.1.16,0.84,0.17,0.00,0.17
orig.mpicc.nas.ft.1.16,0.81,0.08,0.00,0.08
orig.mpicc.nas.is.1.16,0.56,0.29,0.00,0.29
orig.mpicc.nas.lu.1.16,0.09,0.01,0.00,0.01
orig.mpicc.nas.mg.1.16,10.23,0.58,0.00,0.58
orig.mpicc.nas.sp.1.16,0.13,0.01,0.00,0.01
orig.scorep.nas.bt.1.16,0.11,0.01,0.00,0.01
orig.scorep.nas.cg.1.16,0.02,0.02,0.00,0.02
orig.scorep.nas.ep.1.16,0.39,0.12,0.00,0.12
