Job,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,percentage,avg
callgrind.mpicc.nas.is.4.64,1.98,2.02,1.00,1.98,2.02,1.00,1.98,2.02,1.00,0.33,1.67
orig.scorep.nas.bt.1.16,1.01,1.01,1.00,1.00,1.01,0.99,1.01,1.01,1.00,0.11,1.01
orig.scorep.nas.cg.1.16,1.02,0.94,1.02,1.04,0.96,1.04,1.02,0.94,1.02,0.33,1.00
orig.scorep.nas.cg.16.256,0.81,0.84,0.81,0.77,0.79,0.77,0.81,0.84,0.81,1.00,0.81
orig.scorep.nas.cg.4.64,1.10,0.95,1.12,1.10,0.95,1.12,1.10,0.95,1.12,0.33,1.06
orig.scorep.nas.ep.1.16,1.14,1.14,0.97,1.16,1.17,0.99,1.14,1.14,0.97,0.33,1.09
orig.scorep.nas.ep.16.256,0.94,0.94,1.24,0.93,0.93,1.23,1.20,1.20,1.59,0.44,1.13
orig.scorep.nas.ep.4.64,0.93,0.93,0.81,0.93,0.93,0.81,0.93,0.93,0.81,1.00,0.89
orig.scorep.nas.ft.1.16,1.01,0.94,1.02,1.02,0.94,1.02,1.01,0.94,1.01,0.33,0.99
orig.scorep.nas.ft.4.64,0.96,0.98,0.94,0.96,0.98,0.94,0.96,0.98,0.94,1.00,0.96
orig.scorep.nas.is.1.16,1.14,1.32,0.98,1.14,1.32,0.98,1.20,1.39,1.04,0.22,1.17
orig.scorep.nas.is.16.256,1.05,1.05,0.74,1.05,1.05,0.74,1.14,1.14,0.81,0.33,0.97
orig.scorep.nas.is.4.64,1.39,1.42,0.70,1.48,1.50,0.74,1.12,1.14,0.56,0.33,1.12
orig.scorep.nas.is.64.1024,1.35,0.94,1.54,1.35,0.94,1.54,1.25,0.87,1.44,0.33,1.25
orig.scorep.nas.lu.16.256,1.20,1.20,0.96,1.19,1.19,0.96,1.41,1.41,1.13,0.22,1.18
orig.scorep.nas.lu.4.64,1.05,1.01,1.05,1.05,1.01,1.05,1.05,1.00,1.05,0.11,1.04
orig.scorep.nas.sp.1.16,1.01,1.01,1.00,1.01,1.01,1.00,1.01,1.01,1.00,0.11,1.00
orig.tau.nas.bt.1.16,1.01,1.01,0.99,1.00,1.00,0.99,1.01,1.01,0.99,0.33,1.00
orig.tau.nas.cg.1.16,1.06,0.98,1.06,1.06,0.98,1.06,1.06,0.98,1.06,0.33,1.03
orig.tau.nas.ep.1.16,1.02,1.02,0.87,1.02,1.02,0.87,1.02,1.03,0.87,0.33,0.97
orig.tau.nas.ep.16.256,0.85,0.85,1.13,0.85,0.85,1.13,0.83,0.83,1.09,0.67,0.93
orig.tau.nas.ep.4.64,1.12,1.12,0.97,1.22,1.22,1.06,1.12,1.12,0.97,0.22,1.10
orig.tau.nas.ft.1.16,1.00,0.93,1.01,1.08,1.00,1.08,1.00,0.93,1.00,0.22,1.00
orig.tau.nas.ft.16.256,0.91,0.91,0.91,0.90,0.90,0.90,0.91,0.91,0.91,1.00,0.91
orig.tau.nas.ft.4.64,0.96,0.98,0.94,0.96,0.98,0.95,0.91,0.93,0.89,1.00,0.94
orig.tau.nas.is.1.16,1.15,1.33,0.99,1.15,1.33,0.99,1.19,1.38,1.03,0.22,1.17
orig.tau.nas.is.16.256,1.08,1.08,0.76,1.20,1.20,0.84,1.01,1.01,0.71,0.33,0.99
orig.tau.nas.is.4.64,1.32,1.34,0.66,1.47,1.49,0.74,1.32,1.34,0.66,0.33,1.15
orig.tau.nas.is.64.1024,1.27,0.88,1.45,1.27,0.88,1.45,1.41,0.98,1.62,0.33,1.24
orig.tau.nas.sp.1.16,1.00,1.00,1.00,1.01,1.01,1.01,1.00,1.00,1.00,0.22,1.01
pinMain.mpicc.nas.is.4.64,1.81,1.85,0.91,1.79,1.82,0.90,1.98,2.02,1.00,0.33,1.56
tau_exec.mpicc.nas.bt.1.16,1.00,1.00,0.99,1.00,1.00,0.99,1.02,1.02,1.01,0.44,1.00
tau_exec.mpicc.nas.cg.1.16,1.04,0.96,1.04,1.04,0.96,1.04,1.04,0.96,1.04,0.33,1.01
tau_exec.mpicc.nas.cg.4.64,1.13,0.98,1.15,1.12,0.97,1.14,1.19,1.03,1.21,0.22,1.10
tau_exec.mpicc.nas.ep.1.16,0.97,0.97,0.82,0.96,0.97,0.82,0.97,0.97,0.82,1.00,0.92
tau_exec.mpicc.nas.ep.16.256,0.87,0.87,1.14,0.94,0.94,1.24,0.71,0.71,0.94,0.78,0.93
tau_exec.mpicc.nas.ep.4.64,0.87,0.87,0.76,0.87,0.87,0.76,0.82,0.82,0.71,1.00,0.82
tau_exec.mpicc.nas.ft.1.16,0.98,0.91,0.98,0.98,0.91,0.99,0.98,0.91,0.98,1.00,0.96
