Experiment,1/16,4/64,16/256,64/1024
callgrind.mpicc.nas.bt,5.58,27.52,114.95,460.97
callgrind.mpicc.nas.cg,5.29,26.08,108.46,438.92
callgrind.mpicc.nas.ep,5.08,24.35,100.20,401.72
callgrind.mpicc.nas.ft,5.70,28.33,118.43,454.92
callgrind.mpicc.nas.is,5.24,26.83,107.72,428.93
callgrind.mpicc.nas.lu,5.73,28.13,116.87,470.16
callgrind.mpicc.nas.mg,5.73,28.42,117.11,469.83
callgrind.mpicc.nas.sp,5.54,27.45,114.37,457.59
orig.mpicc.nas.bt,0.00,0.00,0.00,0.00
orig.mpicc.nas.cg,0.00,0.00,0.00,0.00
orig.mpicc.nas.ep,0.00,0.00,0.00,0.00
orig.mpicc.nas.ft,0.00,0.00,0.00,0.00
orig.mpicc.nas.is,0.00,0.00,0.00,0.00
orig.mpicc.nas.lu,0.00,0.00,0.00,0.00
orig.mpicc.nas.mg,0.00,0.00,0.00,0.00
orig.mpicc.nas.sp,0.00,0.00,0.00,0.00
orig.scorep.nas.bt,11.97,97.73,789.05,6436.53
orig.scorep.nas.cg,26.90,153.30,796.72,3945.25
orig.scorep.nas.ep,0.11,0.16,0.36,1.16
orig.scorep.nas.ft,0.14,0.29,0.86,4.24
orig.scorep.nas.is,0.14,0.27,0.79,2.87
orig.scorep.nas.lu,159.56,744.82,3192.24,13119.59
orig.scorep.nas.mg,6.40,24.87,90.21,332.87
orig.scorep.nas.sp,20.66,165.95,1332.46,10926.67
orig.tau.nas.bt,62.56,518.79,4223.38,34079.51
orig.tau.nas.cg,164.03,937.58,4876.08,24007.48
orig.tau.nas.ep,0.10,0.41,1.64,6.57
orig.tau.nas.ft,0.24,0.97,3.88,21.14
orig.tau.nas.is,0.26,1.05,4.21,16.81
orig.tau.nas.lu,891.66,4160.89,17832.03,73705.03
orig.tau.nas.mg,37.95,149.27,543.59,1986.76
orig.tau.nas.sp,108.65,885.75,7152.02,57481.00
pinAll.mpicc.nas.bt,24.57,112.62,387.31,1705.11
pinAll.mpicc.nas.cg,16.93,88.58,430.79,2388.11
pinAll.mpicc.nas.ep,11.40,41.46,162.26,647.86
pinAll.mpicc.nas.ft,11.07,54.77,299.79,1044.77
pinAll.mpicc.nas.is,9.72,44.20,195.79,1246.58
pinAll.mpicc.nas.lu,26.76,125.16,532.16,2398.31
pinAll.mpicc.nas.mg,11.99,51.91,210.25,925.95
pinAll.mpicc.nas.sp,24.26,115.77,542.00,1781.23
pinMain.mpicc.nas.bt,2.20,16.45,75.12,393.36
pinMain.mpicc.nas.cg,0.24,17.01,88.27,437.77
pinMain.mpicc.nas.ep,1.63,2.07,3.91,11.40
pinMain.mpicc.nas.ft,0.70,2.78,26.42,104.76
pinMain.mpicc.nas.is,0.04,0.96,6.65,99.47
pinMain.mpicc.nas.lu,1.02,44.08,173.58,718.81
pinMain.mpicc.nas.mg,0.49,4.71,17.72,66.49
pinMain.mpicc.nas.sp,1.22,26.75,120.45,366.78
tau_exec.mpicc.nas.bt,62.74,519.54,4226.38,34091.66
tau_exec.mpicc.nas.cg,164.20,938.24,4878.70,24017.94
tau_exec.mpicc.nas.ep,0.25,1.00,4.01,16.02
tau_exec.mpicc.nas.ft,0.40,1.60,6.41,31.25
tau_exec.mpicc.nas.is,0.43,1.74,6.95,27.90
tau_exec.mpicc.nas.lu,891.83,4161.57,17834.75,73715.93
tau_exec.mpicc.nas.mg,38.12,149.94,546.29,1997.59
tau_exec.mpicc.nas.sp,108.83,886.47,7154.92,57492.64
