Experiment,1/16,4/64,16/256,64/1024
callgrind.mpicc.nas.bt,11.04,12.93,8.86,6.48
callgrind.mpicc.nas.cg,4.86,4.71,3.21,2.78
callgrind.mpicc.nas.ep,12.95,6.08,2.99,2.04
callgrind.mpicc.nas.ft,12.04,6.48,3.58,3.68
callgrind.mpicc.nas.is,2.51,1.98,3.38,11.56
callgrind.mpicc.nas.lu,7.79,7.15,7.30,5.56
callgrind.mpicc.nas.mg,4.99,3.33,2.64,2.44
callgrind.mpicc.nas.sp,3.85,6.10,4.32,7.57
orig.scorep.nas.bt,1.01,1.04,1.52,1.55
orig.scorep.nas.cg,1.02,1.10,0.81,1.63
orig.scorep.nas.ep,1.14,0.93,0.94,1.41
orig.scorep.nas.ft,1.01,0.96,1.07,1.59
orig.scorep.nas.is,1.14,1.39,1.05,1.35
orig.scorep.nas.lu,1.01,1.05,1.20,1.80
orig.scorep.nas.mg,1.04,1.25,1.51,1.57
orig.scorep.nas.sp,1.01,1.05,1.18,2.02
orig.tau.nas.bt,1.01,1.10,1.27,1.88
orig.tau.nas.cg,1.06,1.31,1.23,1.78
orig.tau.nas.ep,1.02,1.12,0.85,3.43
orig.tau.nas.ft,1.00,0.96,0.91,1.26
orig.tau.nas.is,1.15,1.32,1.08,1.27
orig.tau.nas.lu,1.14,1.59,2.71,4.38
orig.tau.nas.mg,1.04,1.36,1.61,2.14
orig.tau.nas.sp,1.00,1.08,1.06,3.30
pinAll.mpicc.nas.bt,1.52,1.87,2.22,3.46
pinAll.mpicc.nas.cg,1.44,2.08,2.26,3.79
pinAll.mpicc.nas.ep,4.05,2.85,2.79,3.02
pinAll.mpicc.nas.ft,1.92,1.72,2.02,3.91
pinAll.mpicc.nas.is,1.67,2.66,2.57,2.09
pinAll.mpicc.nas.lu,1.25,1.62,2.68,7.06
pinAll.mpicc.nas.mg,1.92,2.51,3.39,7.52
pinAll.mpicc.nas.sp,1.09,1.58,1.62,3.71
pinMain.mpicc.nas.bt,1.65,1.96,1.90,8.17
pinMain.mpicc.nas.cg,1.29,2.28,1.81,2.46
pinMain.mpicc.nas.ep,3.76,2.45,1.93,2.40
pinMain.mpicc.nas.ft,1.80,1.60,1.48,1.88
pinMain.mpicc.nas.is,1.28,1.81,1.78,8.85
pinMain.mpicc.nas.lu,1.20,1.42,2.40,3.94
pinMain.mpicc.nas.mg,1.45,1.88,2.32,3.42
pinMain.mpicc.nas.sp,1.06,1.44,1.33,2.48
tau_exec.mpicc.nas.bt,1.00,1.03,1.24,2.29
tau_exec.mpicc.nas.cg,1.04,1.13,1.13,2.50
tau_exec.mpicc.nas.ep,0.97,0.87,0.87,1.77
tau_exec.mpicc.nas.ft,0.98,0.89,1.01,1.63
tau_exec.mpicc.nas.is,0.87,0.93,0.89,1.64
tau_exec.mpicc.nas.lu,1.14,1.55,2.75,4.96
tau_exec.mpicc.nas.mg,1.01,1.00,1.03,2.14
tau_exec.mpicc.nas.sp,1.00,1.06,1.02,4.05
