Experiment,Runtime Variance, Runtime Ratio, Size Variance, Size Ratio
callgrind.mpicc.nas.bt.1.16,0.28,0.00,0.03,0.00
callgrind.mpicc.nas.cg.1.16,0.07,0.01,0.00,0.01
callgrind.mpicc.nas.ep.1.16,0.22,0.01,0.03,0.01
callgrind.mpicc.nas.ft.1.16,6.15,0.02,0.00,0.02
callgrind.mpicc.nas.is.1.16,0.01,0.01,0.00,0.01
callgrind.mpicc.nas.lu.1.16,0.82,0.00,1.46,0.00
callgrind.mpicc.nas.mg.1.16,0.23,0.02,0.40,0.02
callgrind.mpicc.nas.sp.1.16,0.01,0.00,0.02,0.00
callgrind.mpicc.nas.bt.4.64,176.52,0.09,17.32,0.09
callgrind.mpicc.nas.cg.4.64,0.03,0.01,0.00,0.01
callgrind.mpicc.nas.ep.4.64,0.59,0.04,2.21,0.04
callgrind.mpicc.nas.ft.4.64,0.00,0.00,28.00,0.00
callgrind.mpicc.nas.is.4.64,0.00,0.00,1.40,0.00
callgrind.mpicc.nas.lu.4.64,0.00,0.00,0.05,0.00
callgrind.mpicc.nas.mg.4.64,0.02,0.02,9.04,0.02
callgrind.mpicc.nas.sp.4.64,0.46,0.01,4.61,0.01
callgrind.mpicc.nas.bt.16.256,0.03,0.00,9.62,0.00
callgrind.mpicc.nas.cg.16.256,0.02,0.01,14.77,0.01
callgrind.mpicc.nas.ep.16.256,0.51,0.10,6.02,0.10
callgrind.mpicc.nas.ft.16.256,0.60,0.05,16.23,0.05
callgrind.mpicc.nas.is.16.256,0.50,0.08,0.41,0.08
callgrind.mpicc.nas.lu.16.256,0.54,0.03,438.93,0.03
callgrind.mpicc.nas.mg.16.256,0.22,0.09,105.07,0.09
callgrind.mpicc.nas.sp.16.256,0.01,0.00,3.05,0.00
callgrind.mpicc.nas.bt.64.1024,0.00,0.00,517.95,0.00
callgrind.mpicc.nas.cg.64.1024,43.64,0.58,2224.31,0.58
callgrind.mpicc.nas.ep.64.1024,0.02,0.03,54.70,0.03
callgrind.mpicc.nas.ft.64.1024,0.43,0.04,738.05,0.04
callgrind.mpicc.nas.is.64.1024,1188.92,0.77,2316.71,0.77
callgrind.mpicc.nas.lu.64.1024,5.55,0.13,10.85,0.13
callgrind.mpicc.nas.mg.64.1024,0.08,0.05,1870.24,0.05
callgrind.mpicc.nas.sp.64.1024,105.10,0.48,22178.98,0.48
orig.mpicc.nas.bt.1.16,0.26,0.01,0.00,0.01
orig.mpicc.nas.cg.1.16,0.58,0.08,0.00,0.08
orig.mpicc.nas.ep.1.16,0.84,0.17,0.00,0.17
orig.mpicc.nas.ft.1.16,0.81,0.08,0.00,0.08
orig.mpicc.nas.is.1.16,0.56,0.29,0.00,0.29
orig.mpicc.nas.lu.1.16,0.09,0.01,0.00,0.01
orig.mpicc.nas.mg.1.16,0.00,0.01,0.00,0.01
orig.mpicc.nas.sp.1.16,0.12,0.01,0.00,0.01
orig.scorep.nas.bt.1.16,0.09,0.01,0.00,0.01
orig.scorep.nas.cg.1.16,0.02,0.02,0.00,0.02
orig.scorep.nas.ep.1.16,0.02,0.02,0.00,0.02
orig.scorep.nas.ft.1.16,0.00,0.00,0.00,0.00
orig.scorep.nas.is.1.16,0.03,0.05,0.00,0.05
orig.scorep.nas.lu.1.16,0.00,0.00,0.00,0.00
orig.scorep.nas.mg.1.16,0.00,0.00,0.00,0.00
orig.scorep.nas.sp.1.16,0.01,0.00,0.00,0.00
orig.tau.nas.bt.1.16,0.02,0.00,0.00,0.00
orig.tau.nas.cg.1.16,0.00,0.00,0.00,0.00
orig.tau.nas.ep.1.16,0.00,0.01,0.00,0.01
orig.tau.nas.ft.1.16,0.74,0.07,0.00,0.07
orig.tau.nas.is.1.16,0.02,0.04,0.00,0.04
orig.tau.nas.lu.1.16,0.19,0.01,0.00,0.01
orig.tau.nas.mg.1.16,0.00,0.00,0.00,0.00
orig.tau.nas.sp.1.16,0.33,0.01,0.00,0.01
orig.mpicc.nas.bt.4.64,0.00,0.00,0.00,0.00
orig.mpicc.nas.cg.4.64,0.45,0.16,0.00,0.16
orig.mpicc.nas.ep.4.64,0.23,0.14,0.00,0.14
orig.mpicc.nas.ft.4.64,0.04,0.04,0.00,0.04
orig.mpicc.nas.is.4.64,5.04,0.76,0.00,0.76
orig.mpicc.nas.lu.4.64,0.19,0.05,0.00,0.05
orig.mpicc.nas.mg.4.64,0.01,0.03,0.00,0.03
orig.mpicc.nas.sp.4.64,0.00,0.00,0.00,0.00
orig.scorep.nas.bt.4.64,0.00,0.00,0.00,0.00
orig.scorep.nas.cg.4.64,0.00,0.00,0.00,0.00
orig.scorep.nas.ep.4.64,0.00,0.00,0.00,0.00
orig.scorep.nas.ft.4.64,0.00,0.00,0.00,0.00
orig.scorep.nas.is.4.64,0.53,0.27,0.00,0.27
orig.scorep.nas.lu.4.64,0.01,0.01,0.00,0.01
orig.scorep.nas.mg.4.64,0.21,0.15,0.00,0.15
orig.scorep.nas.sp.4.64,0.00,0.00,0.00,0.00
orig.tau.nas.bt.4.64,0.56,0.07,1.20,0.07
orig.tau.nas.cg.4.64,0.17,0.08,0.01,0.08
orig.tau.nas.ep.4.64,0.09,0.08,0.01,0.08
orig.tau.nas.ft.4.64,0.11,0.06,0.01,0.06
orig.tau.nas.is.4.64,0.11,0.11,0.01,0.11
orig.tau.nas.lu.4.64,0.67,0.06,8.00,0.06
orig.tau.nas.mg.4.64,0.48,0.21,0.00,0.21
orig.tau.nas.sp.4.64,0.12,0.03,0.01,0.03
orig.mpicc.nas.bt.16.256,0.08,0.06,0.00,0.06
orig.mpicc.nas.cg.16.256,0.01,0.03,0.00,0.03
orig.mpicc.nas.ep.16.256,0.33,0.26,0.00,0.26
orig.mpicc.nas.ft.16.256,0.00,0.00,0.00,0.00
orig.mpicc.nas.is.16.256,1.00,0.37,0.00,0.37
orig.mpicc.nas.lu.16.256,0.88,0.23,0.00,0.23
orig.mpicc.nas.mg.16.256,0.00,0.00,0.00,0.00
orig.mpicc.nas.sp.16.256,0.02,0.03,0.00,0.03
orig.scorep.nas.bt.16.256,4.90,0.37,0.00,0.37
orig.scorep.nas.cg.16.256,0.02,0.05,0.00,0.05
orig.scorep.nas.ep.16.256,0.41,0.27,0.00,0.27
orig.scorep.nas.ft.16.256,0.09,0.07,0.00,0.07
orig.scorep.nas.is.16.256,0.05,0.09,0.00,0.09
orig.scorep.nas.lu.16.256,0.64,0.17,0.00,0.17
orig.scorep.nas.mg.16.256,0.38,0.22,0.00,0.22
orig.scorep.nas.sp.16.256,0.00,0.01,0.00,0.01
orig.tau.nas.bt.16.256,0.22,0.09,2.60,0.09
orig.tau.nas.cg.16.256,1.35,0.24,2.51,0.24
orig.tau.nas.ep.16.256,0.00,0.03,0.31,0.03
orig.tau.nas.ft.16.256,0.00,0.01,0.11,0.01
orig.tau.nas.is.16.256,0.16,0.17,4.12,0.17
orig.tau.nas.lu.16.256,15.33,0.34,1.38,0.34
orig.tau.nas.mg.16.256,0.53,0.24,1.33,0.24
orig.tau.nas.sp.16.256,0.03,0.03,0.01,0.03
orig.mpicc.nas.bt.64.1024,0.28,0.16,0.00,0.16
orig.mpicc.nas.cg.64.1024,0.04,0.06,0.00,0.06
orig.mpicc.nas.ep.64.1024,0.00,0.01,0.00,0.01
orig.mpicc.nas.ft.64.1024,0.00,0.02,0.00,0.02
