Experiment,Compression Ratio,Slowdown
wpinAll.mpicc.nas.bt.1,1748.41,4.84
wpinAll.mpicc.nas.bt.16,1885.08,29.31
wpinAll.mpicc.nas.bt.4,1300.66,11.62
wpinAll.mpicc.nas.bt.64,957.28,12.68
wpinAll.mpicc.nas.cg.1,134.99,2.07
wpinAll.mpicc.nas.cg.16,3388.60,68.64
wpinAll.mpicc.nas.cg.4,1819.13,29.45
wpinAll.mpicc.nas.cg.64,3493.65,58.14
wpinAll.mpicc.nas.ep.1,2604.65,35.01
wpinAll.mpicc.nas.ep.16,249.19,3.09
wpinAll.mpicc.nas.ep.4,831.73,6.24
wpinAll.mpicc.nas.ep.64,92.50,0.89
wpinAll.mpicc.nas.ft.1,1326.46,4.69
wpinAll.mpicc.nas.ft.16,1352.28,19.43
wpinAll.mpicc.nas.ft.4,575.38,5.40
wpinAll.mpicc.nas.ft.64,1020.02,5.99
wpinAll.mpicc.nas.is.1,26.03,1.40
wpinAll.mpicc.nas.is.16,623.44,8.05
wpinAll.mpicc.nas.is.4,238.02,3.78
wpinAll.mpicc.nas.is.64,1856.55,11.94
wpinAll.mpicc.nas.lu.1,184.94,1.71
wpinAll.mpicc.nas.lu.16,1208.34,24.45
wpinAll.mpicc.nas.lu.4,439.32,6.08
wpinAll.mpicc.nas.lu.64,3878.14,38.60
wpinAll.mpicc.nas.mg.1,104.55,1.70
wpinAll.mpicc.nas.mg.16,1064.32,12.39
wpinAll.mpicc.nas.mg.4,664.87,7.77
wpinAll.mpicc.nas.mg.64,727.73,3.68
wpinAll.mpicc.nas.sp.1,412.99,1.72
wpinAll.mpicc.nas.sp.16,2097.95,44.22
wpinAll.mpicc.nas.sp.4,1147.34,12.41
wpinAll.mpicc.nas.sp.64,3865.74,55.46
wpinMain.mpicc.nas.bt.1,13093.81,4.52
wpinMain.mpicc.nas.bt.16,8255.51,39.41
wpinMain.mpicc.nas.bt.4,6171.56,8.81
wpinMain.mpicc.nas.bt.64,5650.92,10.18
wpinMain.mpicc.nas.cg.1,2070.07,1.32
wpinMain.mpicc.nas.cg.16,8856.98,70.41
wpinMain.mpicc.nas.cg.4,4299.44,15.61
wpinMain.mpicc.nas.cg.64,12067.87,75.27
wpinMain.mpicc.nas.ep.1,15792.22,20.31
wpinMain.mpicc.nas.ep.16,8554.23,3.72
wpinMain.mpicc.nas.ep.4,15142.51,6.91
wpinMain.mpicc.nas.ep.64,5315.48,1.86
wpinMain.mpicc.nas.ft.1,17403.61,4.80
wpinMain.mpicc.nas.ft.16,12249.44,25.20
wpinMain.mpicc.nas.ft.4,11860.10,6.77
wpinMain.mpicc.nas.ft.64,9289.84,6.67
wpinMain.mpicc.nas.is.1,27.45,1.26
wpinMain.mpicc.nas.is.16,11569.80,9.41
wpinMain.mpicc.nas.is.4,4731.69,3.14
wpinMain.mpicc.nas.is.64,17077.84,5.10
wpinMain.mpicc.nas.lu.1,271.80,1.10
wpinMain.mpicc.nas.lu.16,1539.31,14.30
wpinMain.mpicc.nas.lu.4,876.40,6.36
wpinMain.mpicc.nas.lu.64,3493.15,23.78
wpinMain.mpicc.nas.mg.1,264.86,1.15
wpinMain.mpicc.nas.mg.16,8796.54,14.81
wpinMain.mpicc.nas.mg.4,5104.94,8.67
wpinMain.mpicc.nas.mg.64,10903.54,9.29
wpinMain.mpicc.nas.sp.1,2804.95,1.44
wpinMain.mpicc.nas.sp.16,6078.07,39.23
wpinMain.mpicc.nas.sp.4,2905.47,10.17
wpinMain.mpicc.nas.sp.64,8448.52,44.41
