experiment,compression ratio,slowdown
wpinAll.mpicc.amg.amg1.1.16,65.49,1.89
wpinAll.mpicc.amg.amg1.16.256,397.19,8.00
wpinAll.mpicc.amg.amg1.4.64,169.14,3.60
wpinAll.mpicc.amg.amg2.1.16,61.26,2.11
wpinAll.mpicc.amg.amg2.16.256,511.05,12.37
wpinAll.mpicc.amg.amg2.4.64,207.61,5.22
wpinAll.mpicc.amg.amg2.64.1024,534.66,9.07
wpinAll.mpicc.amg.amg3.1.16,63.39,2.41
wpinAll.mpicc.amg.amg3.16.256,882.68,21.35
wpinAll.mpicc.amg.amg3.4.64,317.09,8.25
wpinAll.mpicc.amg.amg3.64.1024,727.98,11.38
wpinAll.mpicc.amg.amg4.1.16,76.45,2.76
wpinAll.mpicc.amg.amg4.16.256,540.98,15.72
wpinAll.mpicc.amg.amg4.4.64,179.84,11.98
wpinAll.mpicc.hpgmg.fe.1.16,288.55,2.31
wpinAll.mpicc.hpgmg.fe.16.256,4823.52,18.93
wpinAll.mpicc.hpgmg.fe.4.64,2140.11,11.77
wpinAll.mpicc.hpgmg.fv1.1.16,98.49,1.79
wpinAll.mpicc.hpgmg.fv1.16.256,368.98,17.42
wpinAll.mpicc.hpgmg.fv1.4.64,38.67,2.27
wpinAll.mpicc.hpgmg.fv2.1.16,18.84,1.46
wpinAll.mpicc.hpgmg.fv2.4.64,49.35,2.73
wpinAll.mpicc.hpgmg.fv3.1.16,107.05,1.57
wpinAll.mpicc.hpgmg.fv3.16.256,456.43,9.65
wpinAll.mpicc.hpgmg.fv3.4.64,161.40,5.68
wpinAll.mpicc.hpgmg.fv3.64.1024,841.49,10.36
wpinAll.mpicc.nas.bt.1.16,1748.41,4.84
wpinAll.mpicc.nas.bt.16.256,1885.08,29.31
wpinAll.mpicc.nas.bt.4.64,1300.66,11.62
wpinAll.mpicc.nas.bt.64.1024,957.28,12.68
wpinAll.mpicc.nas.cg.1.16,134.99,2.07
wpinAll.mpicc.nas.cg.16.256,3388.60,68.64
wpinAll.mpicc.nas.cg.4.64,1819.13,29.45
wpinAll.mpicc.nas.cg.64.1024,3493.65,58.14
wpinAll.mpicc.nas.ep.1.16,2604.65,35.01
wpinAll.mpicc.nas.ep.16.256,249.19,3.09
wpinAll.mpicc.nas.ep.4.64,831.73,6.24
wpinAll.mpicc.nas.ep.64.1024,92.50,0.89
wpinAll.mpicc.nas.ft.1.16,1326.46,4.69
wpinAll.mpicc.nas.ft.16.256,1352.28,19.43
wpinAll.mpicc.nas.ft.4.64,575.38,5.40
wpinAll.mpicc.nas.ft.64.1024,1020.02,5.99
wpinAll.mpicc.nas.is.1.16,26.03,1.40
wpinAll.mpicc.nas.is.16.256,623.44,8.05
wpinAll.mpicc.nas.is.4.64,238.02,3.78
wpinAll.mpicc.nas.is.64.1024,1856.55,11.94
wpinAll.mpicc.nas.lu.1.16,184.94,1.71
wpinAll.mpicc.nas.lu.16.256,1208.34,24.45
wpinAll.mpicc.nas.lu.4.64,439.32,6.08
wpinAll.mpicc.nas.lu.64.1024,3878.14,38.60
wpinAll.mpicc.nas.mg.1.16,104.55,1.70
wpinAll.mpicc.nas.mg.16.256,1064.32,12.39
wpinAll.mpicc.nas.mg.4.64,664.87,7.77
wpinAll.mpicc.nas.mg.64.1024,727.73,3.68
wpinAll.mpicc.nas.sp.1.16,412.99,1.72
wpinAll.mpicc.nas.sp.16.256,2097.95,44.22
wpinAll.mpicc.nas.sp.4.64,1147.34,12.41
wpinAll.mpicc.nas.sp.64.1024,3865.74,55.46
wpinMain.mpicc.amg.amg1.1.16,19.09,1.63
wpinMain.mpicc.amg.amg1.16.256,253.03,5.64
wpinMain.mpicc.amg.amg1.4.64,89.26,3.71
wpinMain.mpicc.amg.amg1.64.1024,353.91,7.77
wpinMain.mpicc.amg.amg2.1.16,21.03,1.71
wpinMain.mpicc.amg.amg2.16.256,385.51,12.57
wpinMain.mpicc.amg.amg2.4.64,146.57,6.02
wpinMain.mpicc.amg.amg2.64.1024,571.60,7.93
wpinMain.mpicc.amg.amg3.1.16,22.57,1.73
wpinMain.mpicc.amg.amg3.16.256,535.92,12.97
wpinMain.mpicc.amg.amg3.4.64,255.30,7.21
wpinMain.mpicc.amg.amg3.64.1024,1076.31,15.50
wpinMain.mpicc.amg.amg4.1.16,21.39,1.53
wpinMain.mpicc.amg.amg4.16.256,892.05,22.83
wpinMain.mpicc.amg.amg4.4.64,297.93,9.13
wpinMain.mpicc.hpgmg.fe.1.16,2043.07,1.11
wpinMain.mpicc.hpgmg.fe.16.256,1922.35,0.89
wpinMain.mpicc.hpgmg.fe.4.64,2128.39,1.17
wpinMain.mpicc.hpgmg.fv1.1.16,1671.46,1.47
wpinMain.mpicc.hpgmg.fv1.16.256,550.78,5.49
wpinMain.mpicc.hpgmg.fv1.4.64,146.33,2.01
wpinMain.mpicc.hpgmg.fv2.1.16,226.76,1.73
wpinMain.mpicc.hpgmg.fv2.16.256,314.25,3.46
wpinMain.mpicc.hpgmg.fv2.4.64,190.77,2.66
wpinMain.mpicc.hpgmg.fv3.1.16,483.04,1.47
wpinMain.mpicc.hpgmg.fv3.16.256,1323.95,8.57
wpinMain.mpicc.hpgmg.fv3.4.64,595.70,4.04
