Experiment,1/16,4/64,16/256,64/1024
callgrind.mpicc.amg.amg1,8.17,39.12,161.26,649.19
callgrind.mpicc.amg.amg2,8.16,39.14,161.39,649.11
callgrind.mpicc.amg.amg3,8.19,39.02,161.36,648.08
callgrind.mpicc.amg.amg4,8.19,38.97,161.24,646.28
callgrind.mpicc.hpgmg.fe,10.48,47.13,191.14,771.59
callgrind.mpicc.hpgmg.fv1,5.81,28.65,117.58,473.21
callgrind.mpicc.hpgmg.fv2,6.13,29.30,120.52,479.91
callgrind.mpicc.hpgmg.fv3,5.86,29.87,122.87,498.94
callgrind.mpicc.nas.bt,5.58,27.53,114.95,460.88
callgrind.mpicc.nas.cg,5.29,26.09,108.46,438.95
callgrind.mpicc.nas.ep,5.08,24.35,100.20,401.72
callgrind.mpicc.nas.ft,5.70,28.33,118.43,454.96
callgrind.mpicc.nas.is,5.24,26.84,107.72,428.93
callgrind.mpicc.nas.lu,5.73,28.13,116.87,470.19
callgrind.mpicc.nas.mg,5.73,28.42,117.11,469.85
callgrind.mpicc.nas.sp,5.54,27.45,114.36,457.67
orig.mpicc.amg.amg1,0.00,0.00,0.00,0.00
orig.mpicc.amg.amg2,0.00,0.00,0.00,0.00
orig.mpicc.amg.amg3,0.00,0.00,0.00,0.00
orig.mpicc.amg.amg4,0.00,0.00,0.00,0.00
orig.mpicc.hpgmg.fe,0.00,0.00,0.00,0.00
orig.mpicc.hpgmg.fv1,0.00,0.00,0.00,0.00
orig.mpicc.hpgmg.fv2,0.00,0.00,0.00,0.00
orig.mpicc.hpgmg.fv3,0.00,0.00,0.00,0.00
orig.mpicc.nas.bt,0.00,0.00,0.00,0.00
orig.mpicc.nas.cg,0.00,0.00,0.00,0.00
orig.mpicc.nas.ep,0.00,0.00,0.00,0.00
orig.mpicc.nas.ft,0.00,0.00,0.00,0.00
orig.mpicc.nas.is,0.00,0.00,0.00,0.00
orig.mpicc.nas.lu,0.00,0.00,0.00,0.00
orig.mpicc.nas.mg,0.00,0.00,0.00,0.00
orig.mpicc.nas.sp,0.00,0.00,0.00,0.00
orig.scorep.nas.bt,11.97,97.73,789.05,6436.53
orig.scorep.nas.cg,26.90,153.30,796.72,3945.25
orig.scorep.nas.ep,0.11,0.16,0.36,1.16
orig.scorep.nas.ft,0.14,0.29,0.86,4.24
orig.scorep.nas.is,0.14,0.27,0.79,2.87
orig.scorep.nas.lu,159.56,744.82,3192.24,13119.59
orig.scorep.nas.mg,6.40,24.87,90.21,332.87
orig.scorep.nas.sp,20.66,165.95,1332.46,10926.67
orig.tau.nas.bt,62.56,518.79,4223.38,34079.51
orig.tau.nas.cg,164.03,937.58,4876.08,24007.48
orig.tau.nas.ep,0.10,0.41,1.64,6.58
orig.tau.nas.ft,0.24,0.97,3.88,21.14
orig.tau.nas.is,0.26,1.05,4.21,16.81
orig.tau.nas.lu,891.66,4160.89,17832.04,73705.08
orig.tau.nas.mg,37.95,149.27,543.60,1986.82
orig.tau.nas.sp,108.65,885.75,7152.02,57480.97
pinAll.mpicc.amg.amg1,107.78,501.97,2472.94,12059.00
pinAll.mpicc.amg.amg2,69.54,343.59,1767.56,8767.79
pinAll.mpicc.amg.amg3,35.99,186.07,781.68,4109.37
pinAll.mpicc.amg.amg4,35.23,190.86,1022.19,5468.52
pinAll.mpicc.hpgmg.fe,33.03,154.66,702.57,4455.57
pinAll.mpicc.hpgmg.fv1,168.92,2071.22,3353.60,8242.32
pinAll.mpicc.hpgmg.fv2,612.51,2056.61,5695.45,12134.40
pinAll.mpicc.hpgmg.fv3,226.11,2286.37,5962.75,12254.54
pinAll.mpicc.nas.bt,24.60,112.53,387.41,1697.26
pinAll.mpicc.nas.cg,16.93,88.65,431.27,2517.38
pinAll.mpicc.nas.ep,11.40,41.46,162.31,659.48
pinAll.mpicc.nas.ft,11.07,54.76,302.21,1043.12
pinAll.mpicc.nas.is,9.72,44.21,195.78,1266.26
pinAll.mpicc.nas.lu,26.75,124.96,532.77,2398.52
pinAll.mpicc.nas.mg,11.99,51.92,212.59,933.12
pinAll.mpicc.nas.sp,24.35,115.72,560.06,1824.23
pinMain.mpicc.amg.amg1,125.10,532.45,2292.96,10119.84
pinMain.mpicc.amg.amg2,67.30,297.01,1317.59,5969.65
pinMain.mpicc.amg.amg3,24.43,114.63,567.03,1894.28
pinMain.mpicc.amg.amg4,23.85,116.99,549.05,2693.19
pinMain.mpicc.hpgmg.fe,0.12,0.51,1.95,7.69
pinMain.mpicc.hpgmg.fv1,0.79,350.71,649.08,2015.59
pinMain.mpicc.hpgmg.fv2,8.10,357.11,1341.48,2077.88
pinMain.mpicc.hpgmg.fv3,12.86,370.10,1390.83,2725.78
pinMain.mpicc.nas.bt,2.20,16.64,80.74,392.56
pinMain.mpicc.nas.cg,0.24,16.89,88.03,437.77
pinMain.mpicc.nas.ep,1.63,2.07,3.91,11.40
pinMain.mpicc.nas.ft,0.70,2.77,26.41,110.34
pinMain.mpicc.nas.is,0.04,0.96,6.64,104.39
pinMain.mpicc.nas.lu,1.03,44.28,173.88,718.17
pinMain.mpicc.nas.mg,0.49,4.72,17.70,50.42
pinMain.mpicc.nas.sp,1.22,26.73,120.66,367.00
tau_exec.mpicc.amg.amg1,349.05,3236.26,26357.43,142686.09
tau_exec.mpicc.amg.amg2,280.94,2672.15,23445.41,160611.88
tau_exec.mpicc.amg.amg3,188.78,1900.76,21605.18,149973.31
tau_exec.mpicc.amg.amg4,172.42,2052.24,18477.18,135736.82
tau_exec.mpicc.hpgmg.fe,233.04,1000.13,4251.21,38672.43
tau_exec.mpicc.hpgmg.fv1,4386.04,20440.79,39965.82,142952.80
tau_exec.mpicc.hpgmg.fv2,7728.64,19140.83,65435.85,153426.54
tau_exec.mpicc.hpgmg.fv3,4360.05,27231.04,70969.64,312524.17
tau_exec.mpicc.nas.bt,62.74,519.54,4226.39,34091.61
tau_exec.mpicc.nas.cg,164.20,938.24,4878.71,24018.00
tau_exec.mpicc.nas.ep,0.25,1.00,4.00,16.00
tau_exec.mpicc.nas.ft,0.40,1.60,6.41,31.26
tau_exec.mpicc.nas.is,0.43,1.74,6.95,27.86
tau_exec.mpicc.nas.lu,891.83,4161.57,17834.76,73715.96
tau_exec.mpicc.nas.mg,38.12,149.95,546.30,1997.60
tau_exec.mpicc.nas.sp,108.83,886.47,7154.94,57492.62
