Experiment,1/16,4/64,16/256,64/1024
callgrind.mpicc.amg.amg1,59.76,57.85,52.02,39.00
callgrind.mpicc.amg.amg2,47.07,42.88,35.48,28.18
callgrind.mpicc.amg.amg3,23.22,17.58,16.96,9.77
callgrind.mpicc.amg.amg4,25.82,22.80,15.16,10.39
callgrind.mpicc.hpgmg.fe,21.44,21.85,24.51,10.81
callgrind.mpicc.hpgmg.fv1,0.94,1.00,0.97,0.88
callgrind.mpicc.hpgmg.fv2,0.98,1.05,1.04,1.00
callgrind.mpicc.hpgmg.fv3,1.70,1.74,1.71,1.73
callgrind.mpicc.nas.bt,11.06,12.99,8.42,6.04
callgrind.mpicc.nas.cg,4.73,4.52,3.09,3.61
callgrind.mpicc.nas.ep,12.28,6.13,3.17,2.21
callgrind.mpicc.nas.ft,11.81,6.52,3.64,3.69
callgrind.mpicc.nas.is,2.48,1.54,3.06,8.87
callgrind.mpicc.nas.lu,7.78,7.06,6.70,5.70
callgrind.mpicc.nas.mg,4.13,2.82,2.08,2.09
callgrind.mpicc.nas.sp,3.84,5.96,4.29,5.33
orig.scorep.nas.bt,1.01,1.04,1.34,1.60
orig.scorep.nas.cg,1.00,1.09,0.83,1.86
orig.scorep.nas.ep,1.05,0.98,1.05,1.56
orig.scorep.nas.ft,0.99,0.99,1.05,1.78
orig.scorep.nas.is,1.08,1.00,0.95,1.21
orig.scorep.nas.lu,1.01,1.04,1.17,1.86
orig.scorep.nas.mg,0.98,1.15,1.20,1.26
orig.scorep.nas.sp,1.01,1.02,1.05,1.64
orig.tau.nas.bt,1.00,1.09,1.22,2.00
orig.tau.nas.cg,1.07,1.24,1.29,1.91
orig.tau.nas.ep,0.97,1.09,0.99,4.04
orig.tau.nas.ft,1.00,0.94,0.94,1.25
orig.tau.nas.is,1.07,0.97,0.96,1.16
orig.tau.nas.lu,1.14,1.57,2.82,4.48
orig.tau.nas.mg,0.96,1.22,1.17,1.63
orig.tau.nas.sp,1.01,1.06,1.06,2.57
pinAll.mpicc.amg.amg1,2.16,2.28,1.99,2.10
pinAll.mpicc.amg.amg2,2.35,2.32,1.87,2.43
pinAll.mpicc.amg.amg3,2.56,2.19,1.62,1.47
pinAll.mpicc.amg.amg4,2.97,2.45,1.73,2.32
pinAll.mpicc.hpgmg.fe,5.94,5.71,9.46,5.15
pinAll.mpicc.hpgmg.fv1,0.69,0.70,0.68,1.93
pinAll.mpicc.hpgmg.fv2,0.63,0.71,0.90,1.26
pinAll.mpicc.hpgmg.fv3,1.09,1.09,1.10,0.98
pinAll.mpicc.nas.bt,1.51,1.87,2.11,3.58
pinAll.mpicc.nas.cg,1.41,2.01,2.17,4.49
pinAll.mpicc.nas.ep,3.81,2.87,2.88,5.69
pinAll.mpicc.nas.ft,1.87,1.72,2.02,4.06
pinAll.mpicc.nas.is,1.66,1.95,2.28,3.86
pinAll.mpicc.nas.lu,1.26,1.59,2.48,7.83
pinAll.mpicc.nas.mg,1.58,2.20,2.27,4.63
pinAll.mpicc.nas.sp,1.09,1.60,1.72,2.96
pinMain.mpicc.amg.amg1,1.61,1.56,2.18,3.22
pinMain.mpicc.amg.amg2,1.80,1.63,1.40,2.63
pinMain.mpicc.amg.amg3,1.90,1.67,1.56,1.05
pinMain.mpicc.amg.amg4,2.52,1.97,1.40,1.69
pinMain.mpicc.hpgmg.fe,3.36,3.41,6.32,2.06
pinMain.mpicc.hpgmg.fv1,0.70,0.62,0.47,0.52
pinMain.mpicc.hpgmg.fv2,0.57,0.64,0.75,0.61
pinMain.mpicc.hpgmg.fv3,1.12,1.13,1.08,1.04
pinMain.mpicc.nas.bt,1.65,2.07,1.81,8.19
pinMain.mpicc.nas.cg,1.26,2.08,1.74,2.62
pinMain.mpicc.nas.ep,3.56,2.48,1.98,2.54
pinMain.mpicc.nas.ft,1.79,1.58,1.49,4.47
pinMain.mpicc.nas.is,1.27,1.41,1.55,8.95
pinMain.mpicc.nas.lu,1.20,1.39,2.16,3.92
pinMain.mpicc.nas.mg,1.33,1.70,1.61,1.85
pinMain.mpicc.nas.sp,1.06,1.40,1.48,1.97
tau_exec.mpicc.amg.amg1,1.01,1.19,1.16,1.77
tau_exec.mpicc.amg.amg2,1.07,1.19,1.18,1.46
tau_exec.mpicc.amg.amg3,1.24,1.26,2.82,1.75
tau_exec.mpicc.amg.amg4,1.16,1.42,1.41,1.64
tau_exec.mpicc.hpgmg.fe,1.11,1.16,1.54,1.79
tau_exec.mpicc.hpgmg.fv1,0.89,1.00,1.21,1.22
tau_exec.mpicc.hpgmg.fv2,1.01,1.14,1.07,1.23
tau_exec.mpicc.hpgmg.fv3,1.02,1.04,1.05,1.21
tau_exec.mpicc.nas.bt,1.00,1.06,1.25,2.38
tau_exec.mpicc.nas.cg,1.01,1.10,1.08,2.74
tau_exec.mpicc.nas.ep,0.94,0.86,0.86,1.93
tau_exec.mpicc.nas.ft,0.96,0.87,1.02,1.54
tau_exec.mpicc.nas.is,0.92,0.81,0.83,1.54
tau_exec.mpicc.nas.lu,1.14,1.53,2.56,4.94
tau_exec.mpicc.nas.mg,0.96,1.00,0.88,1.38
tau_exec.mpicc.nas.sp,1.00,1.05,1.03,3.19
