Tool,App,Slowdown(real)(s),Trace Size(MB)
callgrind,amg1,59.76,8.17
callgrind,amg2,47.07,8.16
callgrind,amg3,23.22,8.19
callgrind,amg4,25.82,8.19
callgrind,fe,21.44,10.48
callgrind,fv1,0.94,5.81
callgrind,fv2,0.98,6.13
callgrind,fv3,1.7,5.86
callgrind,bt,11.06,5.58
callgrind,cg,4.73,5.29
callgrind,ep,12.28,5.08
callgrind,ft,11.81,5.7
callgrind,is,2.48,5.24
callgrind,lu,7.78,5.73
callgrind,mg,4.13,5.73
callgrind,sp,3.84,5.54
callgrind,ex0-1,0.0,0.0
callgrind,ex0-2,0.0,0.0
callgrind,ex1-1,0.0,0.0
callgrind,ex1-2,0.0,0.0
callgrind,ex2-1,0.0,0.0
callgrind,ex2-2,0.0,0.0
callgrind,ex3-1,0.0,0.0
callgrind,ex3-2,0.0,0.0
scorep,fe,3.86,0.0
scorep,fv1,1.01,0.0
scorep,fv2,1.02,0.0
scorep,fv3,1.21,0.0
scorep,bt,1.01,11.97
scorep,cg,1.0,26.9
scorep,ep,1.05,0.11
scorep,ft,0.99,0.14
scorep,is,1.08,0.14
scorep,lu,1.01,159.56
scorep,mg,0.98,6.4
scorep,sp,1.01,20.66
tau,amg1,1.61,4253.91
tau,amg2,3.45,4230.13
tau,amg3,7.36,3963.02
tau,amg4,9.66,4153.41
tau,fe,3.79,0.0
tau,fv1,0.99,0.0
tau,fv2,0.97,0.0
tau,fv3,1.21,0.0
tau,bt,1.0,62.56
tau,cg,1.07,164.03
tau,ep,0.97,0.1
tau,ft,1.0,0.24
tau,is,1.07,0.26
tau,lu,1.14,891.66
tau,mg,0.96,37.95
tau,sp,1.01,108.65
pinAll,amg1,2.16,107.78
pinAll,amg2,2.35,69.54
pinAll,amg3,2.56,35.99
pinAll,amg4,2.97,35.23
pinAll,fe,5.94,33.03
pinAll,fv1,0.69,168.92
pinAll,fv2,0.63,612.51
pinAll,fv3,1.09,226.11
pinAll,bt,1.51,24.6
pinAll,cg,1.41,16.93
pinAll,ep,3.81,11.4
