'1'
Tool,App,Min,,,,Max,,,,Med,,,,Avg,,,,SD(avg),,,,SD(med),,,,Size,,,,
pinMain,bt,155.02,157.22,155.47,154.40,156.83,175.11,157.54,157.53,155.02,162.33,157.09,155.95,155.62,164.89,156.70,155.96,1.61,1.68,1.62,1.59,1.61,1.65,1.62,1.59,2250.15,2250.05,2250.15,2250.17,
pinMain,cg,27.78,29.34,28.91,28.96,29.03,29.99,29.39,29.46,28.15,29.88,29.27,29.24,28.32,29.74,29.19,29.22,1.25,1.29,1.20,1.23,1.24,1.29,1.18,1.24,249.94,234.48,252.17,250.59,
pinMain,ep,45.51,46.39,45.77,46.31,46.80,47.52,46.52,47.67,46.07,46.44,46.45,46.88,46.13,46.78,46.25,46.95,3.17,3.00,3.01,2.99,3.22,3.01,3.02,3.02,1669.32,1669.24,1669.33,1669.33,
pinMain,ft,47.24,48.08,48.60,49.18,48.27,55.04,49.40,49.92,47.39,48.53,48.62,49.37,47.63,50.55,48.87,49.49,1.68,1.78,1.69,1.74,1.66,1.72,1.71,1.73,717.93,717.82,717.93,717.93,
pinMain,is,11.56,11.92,12.32,11.85,11.98,13.21,14.42,13.82,11.83,12.58,12.38,12.48,11.79,12.57,13.04,12.71,1.32,1.18,1.38,1.31,1.34,1.14,1.32,1.30,38.53,38.48,38.56,38.47,
pinMain,lu,75.49,79.14,76.58,77.56,76.60,86.20,77.60,78.32,75.97,79.94,76.77,78.11,76.02,81.76,76.98,78.00,1.17,1.22,1.16,1.19,1.17,1.21,1.16,1.19,1048.59,1083.90,1031.80,990.91,
pinMain,mg,17.75,18.33,18.15,18.69,18.27,19.57,18.45,19.04,17.80,18.33,18.31,19.02,17.94,18.74,18.31,18.91,1.35,1.37,1.26,1.34,1.34,1.33,1.29,1.35,511.20,515.69,515.40,498.96,
pinMain,sp,121.72,123.05,122.46,123.87,123.32,123.18,123.05,124.03,121.96,123.12,122.89,124.01,122.33,123.12,122.80,123.97,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1251.85,1247.87,1249.16,1248.74,
pinAll,bt,144.51,145.05,144.77,145.76,145.56,148.92,145.42,149.94,144.64,147.19,145.37,145.96,144.90,147.05,145.19,147.22,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.49,25241.71,25287.67,25285.63,25346.29,
pinAll,cg,31.59,31.82,32.68,32.58,32.56,32.05,35.07,32.99,31.77,31.83,33.37,32.93,31.97,31.90,33.71,32.83,1.41,1.39,1.38,1.38,1.40,1.38,1.35,1.40,17340.76,17362.46,17365.94,17362.98,
pinAll,ep,47.50,47.71,3.71,48.58,48.50,48.89,48.97,49.32,47.72,48.54,48.58,48.94,47.91,48.38,33.75,48.94,3.29,3.10,2.19,3.12,3.33,3.15,3.16,3.15,12909.03,11652.41,8611.72,12934.28,
pinAll,ft,48.77,49.53,49.38,49.97,49.83,50.47,49.72,51.68,48.91,49.75,49.63,50.10,49.17,49.92,49.57,50.58,1.74,1.76,1.71,1.78,1.71,1.76,1.75,1.75,11352.02,11341.65,11360.59,11356.73,
pinAll,is,13.60,14.45,14.68,14.72,15.07,15.47,14.89,15.16,14.05,15.34,14.72,14.91,14.24,15.09,14.76,14.93,1.60,1.42,1.57,1.54,1.59,1.39,1.57,1.55,9961.27,9981.41,9958.35,9959.28,
pinAll,lu,78.76,82.60,79.30,80.39,80.22,83.57,79.52,80.64,80.09,82.83,79.45,80.40,79.69,83.00,79.43,80.48,1.23,1.24,1.19,1.22,1.23,1.25,1.20,1.22,27630.97,28027.78,27309.18,27549.80,
pinAll,mg,20.34,20.73,20.89,20.56,21.05,20.98,21.27,22.11,20.34,20.92,21.09,21.05,20.58,20.88,21.08,21.24,1.55,1.52,1.45,1.51,1.53,1.52,1.48,1.49,12340.42,12324.90,12310.71,12347.03,
pinAll,sp,124.65,125.22,125.50,125.60,141.29,125.67,125.74,126.36,125.73,125.47,125.65,125.70,130.56,125.45,125.63,125.88,1.13,1.08,1.08,1.08,1.09,1.08,1.09,1.08,26331.23,24992.35,24959.89,24964.55,
orig,bt,96.21,96.51,96.73,97.78,97.15,99.35,97.50,98.25,96.53,98.33,96.82,98.03,96.63,98.06,97.02,98.02,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,cg,21.99,22.64,23.51,23.14,23.26,23.30,24.84,24.52,22.62,23.10,24.76,23.58,22.62,23.01,24.37,23.74,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,ep,13.76,14.98,15.33,15.19,15.60,16.41,15.46,16.38,14.31,15.41,15.38,15.55,14.56,15.60,15.39,15.70,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,ft,27.52,27.75,28.22,28.05,28.79,29.14,30.26,28.75,28.62,28.25,28.40,28.62,28.31,28.38,28.96,28.47,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,is,8.69,9.51,9.33,9.50,9.20,11.36,9.53,9.89,8.81,11.00,9.40,9.62,8.90,10.62,9.42,9.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,lu,64.78,65.99,66.15,65.55,65.42,68.09,67.15,66.02,64.95,66.34,66.15,65.88,65.05,66.81,66.48,65.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,mg,12.62,13.65,13.90,14.02,13.94,13.79,15.45,14.09,13.29,13.74,14.24,14.09,13.28,13.73,14.53,14.07,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,sp,114.19,115.64,115.67,116.50,115.99,116.12,115.97,118.19,115.33,115.97,115.73,116.56,115.17,115.91,115.79,117.08,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,


'4'
Tool,App,Min,,,,Max,,,,Med,,,,Avg,,,,SD(avg),,,,SD(med),,,,Size,,,,
pinMain,bt,48.31,49.11,49.41,48.95,49.54,55.81,53.79,50.00,48.83,49.98,49.61,49.44,48.89,51.64,50.94,49.46,1.68,1.79,1.72,1.42,1.71,1.74,1.70,1.65,16893.03,16867.62,16812.00,16874.74,
pinMain,cg,20.21,13.05,15.92,19.91,23.74,86.74,21.65,20.34,20.45,19.61,19.74,20.32,21.47,39.80,19.10,20.19,1.45,2.60,1.33,1.40,1.40,1.32,1.36,1.41,17407.24,11139.57,11592.04,17229.11,
pinMain,ep,20.50,21.95,21.80,21.93,22.22,24.05,23.42,23.95,21.00,21.97,21.91,22.72,21.24,22.66,22.38,22.87,1.66,1.77,1.80,1.88,1.77,1.81,1.86,1.90,2123.94,2122.95,2125.06,2123.20,
pinMain,ft,23.82,25.03,24.75,25.04,24.79,25.79,27.47,31.31,24.19,25.17,26.83,25.10,24.27,25.33,26.35,27.15,1.30,1.42,1.54,1.59,1.37,1.39,1.58,1.47,2842.45,2838.35,2845.17,2833.22,
pinMain,is,13.62,11.91,13.90,13.78,14.97,13.96,15.98,14.28,13.66,12.77,14.28,13.99,14.08,12.88,14.72,14.02,1.22,0.96,1.36,1.29,1.25,1.09,1.36,1.29,991.78,355.02,990.42,982.75,
pinMain,lu,12.82,13.25,14.51,33.15,33.08,34.82,33.25,33.60,32.88,33.10,32.82,33.39,26.26,27.06,26.86,33.38,0.98,1.04,1.02,1.28,1.23,1.26,1.26,1.28,29047.69,30609.53,29043.01,43449.34,
pinMain,mg,13.35,15.78,15.87,15.80,15.39,16.24,18.03,17.11,14.17,16.16,16.33,15.95,14.30,16.06,16.74,16.29,1.09,1.41,1.24,1.43,1.08,1.42,1.42,1.41,3340.29,4844.66,4849.93,5060.45,
pinMain,sp,35.41,12.72,36.43,37.78,37.09,36.75,37.18,51.68,36.17,13.20,36.64,47.96,36.22,20.89,36.75,45.81,1.01,0.73,1.28,1.56,0.97,0.46,1.29,1.65,27480.60,9403.82,27499.58,28960.50,
pinAll,bt,11.98,47.85,48.67,48.42,49.07,48.78,52.36,50.40,47.81,48.22,51.60,48.97,36.29,48.28,50.88,49.26,1.25,1.67,1.72,1.42,1.67,1.67,1.77,1.64,86907.00,113067.65,114342.76,112024.36,
pinAll,cg,22.62,22.28,13.26,23.77,26.20,22.68,25.72,24.47,23.80,22.58,23.89,23.83,24.21,22.51,20.96,24.02,1.63,1.47,1.46,1.66,1.63,1.52,1.65,1.65,90592.90,90814.70,69964.35,90772.95,
pinAll,ep,12.83,13.53,24.73,13.62,27.14,25.88,25.45,24.84,25.32,25.08,25.09,24.44,21.76,21.49,25.09,20.97,1.70,1.68,2.02,1.72,2.14,2.07,2.13,2.05,38733.86,37870.42,43727.30,38694.94,
pinAll,ft,12.64,26.86,27.24,27.55,27.22,27.82,29.44,29.41,26.18,26.98,27.34,28.66,22.01,27.22,28.01,28.54,1.18,1.52,1.64,1.68,1.48,1.49,1.61,1.68,47018.32,56110.96,56576.38,56606.90,
pinAll,is,15.03,16.37,16.56,16.55,16.92,17.16,29.10,16.94,16.13,16.72,18.02,16.80,16.03,16.75,21.23,16.76,1.39,1.25,1.95,1.54,1.47,1.43,1.72,1.55,45492.66,45286.63,45324.38,45276.53,
pinAll,lu,36.49,12.16,36.04,37.14,48.20,37.86,38.21,38.41,37.12,37.06,36.16,37.97,40.60,29.03,36.80,37.84,1.51,1.11,1.39,1.45,1.39,1.41,1.39,1.46,125479.60,94997.55,126526.73,125778.98,
pinAll,mg,17.30,18.26,18.48,18.05,19.15,18.73,18.69,19.84,18.34,18.67,18.68,18.38,18.27,18.55,18.62,18.76,1.39,1.63,1.38,1.64,1.40,1.65,1.62,1.62,54215.13,53239.30,53286.73,53332.48,
pinAll,sp,38.65,39.03,39.70,13.73,39.59,40.57,41.06,41.54,39.28,39.12,40.45,39.70,39.17,39.57,40.40,31.66,1.10,1.37,1.41,1.08,1.05,1.37,1.42,1.37,120473.89,119227.10,119991.00,89473.76,
orig,bt,28.00,27.84,29.13,29.85,30.84,29.96,30.51,44.66,28.58,28.79,29.18,29.89,29.14,28.86,29.61,34.80,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,cg,13.64,14.49,13.77,14.30,16.32,16.54,14.66,14.59,14.60,14.89,14.51,14.43,14.85,15.31,14.32,14.44,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,ep,11.76,10.96,11.64,11.81,14.82,15.31,13.83,12.79,11.85,12.12,11.79,11.93,12.81,12.80,12.42,12.17,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,ft,17.17,17.21,16.91,16.86,20.97,18.39,17.24,17.15,17.69,18.10,17.03,17.06,18.61,17.90,17.06,17.02,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,is,10.19,10.35,10.19,10.80,13.35,18.10,11.91,11.09,10.95,11.72,10.49,10.82,11.50,13.39,10.86,10.90,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,lu,24.88,25.60,25.91,25.97,28.90,26.36,27.43,26.33,26.67,26.23,26.03,26.06,26.82,26.06,26.46,26.12,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
orig,mg,12.07,11.24,11.10,11.29,14.25,11.55,17.90,11.64,13.10,11.35,11.54,11.32,13.14,11.38,13.51,11.41,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,
