Tool,Compiler,Benchmark,Application,#nodes,#processes,Rep ID,Runtime(s)-real,Runtime(s)-user,Runtime(s)-sys,Size(KB)
all,bt,nas,bt,64,1024,1,13.106,4.3369999999999997,0.89300000000000002,2255429.064453125
all,bt,nas,bt,64,1024,2,336.541,4.3949999999999996,0.84599999999999997,1695443378.5351562
all,bt,nas,bt,64,1024,3,331.17599999999999,4.3529999999999998,1.042,1630130312.2744141
all,cg,nas,cg,64,1024,1,11.327,4.1849999999999996,0.88300000000000001,2669692.095703125
all,cg,nas,cg,64,1024,2,6.5819999999999999,4.1619999999999999,0.83999999999999997,2469239.095703125
all,cg,nas,cg,64,1024,3,2062.3429999999998,4.2880000000000003,0.86599999999999999,10465371941.207031
all,ep,nas,ep,64,1024,1,12.606999999999999,4.2380000000000004,0.83999999999999997,2156962.62109375
all,ep,nas,ep,64,1024,2,6.7309999999999999,4.226,0.88200000000000001,2412960.615234375
all,ep,nas,ep,64,1024,3,6.6500000000000004,4.2119999999999997,0.94699999999999995,2535589.720703125
all,lu,nas,lu,64,1024,1,13.957000000000001,4.2160000000000002,0.88900000000000001,2890998.064453125
all,lu,nas,lu,64,1024,2,6.7050000000000001,4.2560000000000002,0.84599999999999997,2609034.14453125
all,lu,nas,lu,64,1024,3,6.6420000000000003,4.2229999999999999,0.82799999999999996,2754368.470703125
all,sp,nas,sp,64,1024,1,11.542,4.2690000000000001,0.90800000000000003,2408924.470703125
all,sp,nas,sp,64,1024,2,1504.3130000000001,4.3869999999999996,0.85199999999999998,7524052036.7070312
all,sp,nas,sp,64,1024,3,1500.874,4.399,1.026,7460751089.7265625
main,bt,nas,bt,16,256,1,11.726000000000001,1.264,0.375,13456.064453125
main,bt,nas,bt,16,256,2,4.1980000000000004,1.2589999999999999,0.34799999999999998,13456.064453125
main,bt,nas,bt,16,256,3,430.654,1.298,0.32000000000000001,445480001.890625
main,bt,nas,bt,64,1024,1,11.33,4.2480000000000002,0.874,14160.064453125
main,bt,nas,bt,64,1024,2,4.944,4.1890000000000001,0.83399999999999996,58709.064453125
main,bt,nas,bt,64,1024,3,763.83100000000002,4.266,0.88200000000000001,3104412601.4501953
main,cg,nas,cg,64,1024,1,10.189,4.2300000000000004,0.86499999999999999,53367.048828125
main,cg,nas,cg,64,1024,2,4.7389999999999999,4.21,0.91600000000000004,56128.064453125
main,cg,nas,cg,64,1024,3,4.7640000000000002,4.2060000000000004,0.84499999999999997,57760.064453125
main,ep,nas,ep,16,256,1,41.789000000000001,1.351,0.39300000000000002,36301564.2578125
main,ep,nas,ep,16,256,2,34.430999999999997,1.3320000000000001,0.316,34016972.07421875
main,ep,nas,ep,16,256,3,31.891999999999999,1.3109999999999999,0.34399999999999997,32468946.9453125
main,ep,nas,ep,64,1024,1,10.502000000000001,4.2160000000000002,0.871,54368.064453125
main,ep,nas,ep,64,1024,2,22.803000000000001,4.2930000000000001,0.86899999999999999,62687226.1640625
main,ep,nas,ep,64,1024,3,22.027999999999999,4.3079999999999998,0.86799999999999999,61507616.6171875
main,lu,nas,lu,16,256,1,309.05799999999999,1.3169999999999999,0.375,315608142.125
main,lu,nas,lu,16,256,2,224.90299999999999,1.3360000000000001,0.34399999999999997,228908456.90234375
main,lu,nas,lu,16,256,3,271.29599999999999,1.3220000000000001,0.33600000000000002,277720471.58984375
main,lu,nas,lu,64,1024,1,10.079000000000001,4.2430000000000003,0.86699999999999999,55226.423828125
main,lu,nas,lu,64,1024,2,4.9630000000000001,4.2430000000000003,0.88900000000000001,57760.064453125
main,lu,nas,lu,64,1024,3,4.6980000000000004,4.2240000000000002,0.81799999999999995,57760.064453125
main,sp,nas,sp,64,1024,1,12.359,4.1799999999999997,0.88500000000000001,55232.064453125
main,sp,nas,sp,64,1024,2,860.98800000000006,4.3099999999999996,0.82199999999999995,3601178596.375
main,sp,nas,sp,64,1024,3,681.61599999999999,4.2709999999999999,1.0309999999999999,2821649191.9453125
