chpc.orig.o1.mpicc.nas.bt.A.1.1,6.991,0.039,0.043,0,
chpc.orig.o1.mpicc.nas.bt.A.1.2,7.87,0.041,0.032,0,
chpc.orig.o1.mpicc.nas.bt.A.1.3,8.015,0.044,0.03,0,
chpc.orig.o1.mpicc.nas.bt.A.4.1,4.334,0.041,0.051,0,
chpc.orig.o1.mpicc.nas.bt.A.4.2,5.846,0.051,0.033,0,
chpc.orig.o1.mpicc.nas.bt.A.4.3,3.286,0.041,0.046,0,
chpc.orig.o1.mpicc.nas.cg.A.1.1,2.408,0.044,0.039,0,
chpc.orig.o1.mpicc.nas.cg.A.1.2,2.832,0.038,0.033,0,
chpc.orig.o1.mpicc.nas.cg.A.1.3,2.88,0.04,0.038,0,
chpc.orig.o1.mpicc.nas.cg.A.4.1,2.258,0.048,0.045,0,
chpc.orig.o1.mpicc.nas.cg.A.4.2,2.228,0.044,0.041,0,
chpc.orig.o1.mpicc.nas.cg.A.4.3,1.355,0.047,0.039,0,
chpc.orig.o1.mpicc.nas.ep.A.1.1,4.992,0.045,0.037,0,
chpc.orig.o1.mpicc.nas.ep.A.1.2,3.083,0.039,0.036,0,
chpc.orig.o1.mpicc.nas.ep.A.1.3,4.101,0.041,0.032,0,
chpc.orig.o1.mpicc.nas.ep.A.4.1,2.403,0.042,0.052,0,
chpc.orig.o1.mpicc.nas.ep.A.4.2,1.675,0.045,0.039,0,
chpc.orig.o1.mpicc.nas.ep.A.4.3,1.893,0.042,0.042,0,
chpc.orig.o1.mpicc.nas.ft.A.1.1,2.621,0.041,0.039,0,
chpc.orig.o1.mpicc.nas.ft.A.1.2,2.885,0.046,0.029,0,
chpc.orig.o1.mpicc.nas.ft.A.1.3,3.387,0.039,0.039,0,
chpc.orig.o1.mpicc.nas.ft.A.4.1,3.424,0.044,0.05,0,
chpc.orig.o1.mpicc.nas.ft.A.4.2,2.894,0.039,0.045,0,
chpc.orig.o1.mpicc.nas.ft.A.4.3,4.951,0.047,0.041,0,
chpc.orig.o1.mpicc.nas.is.A.1.1,2.975,0.045,0.038,0,
chpc.orig.o1.mpicc.nas.is.A.1.2,2.594,0.045,0.03,0,
chpc.orig.o1.mpicc.nas.is.A.1.3,2.781,0.039,0.036,0,
chpc.orig.o1.mpicc.nas.is.A.4.1,4.298,0.046,0.048,0,
chpc.orig.o1.mpicc.nas.is.A.4.2,4.05,0.049,0.039,0,
chpc.orig.o1.mpicc.nas.is.A.4.3,3.131,0.041,0.046,0,
chpc.orig.o1.mpicc.nas.lu.A.1.1,5.608,0.045,0.036,0,
chpc.orig.o1.mpicc.nas.lu.A.1.2,5.529,0.041,0.035,0,
chpc.orig.o1.mpicc.nas.lu.A.1.3,5.225,0.038,0.036,0,
chpc.orig.o1.mpicc.nas.lu.A.4.1,5.176,0.042,0.051,0,
chpc.orig.o1.mpicc.nas.lu.A.4.2,3.83,0.04,0.045,0,
chpc.orig.o1.mpicc.nas.lu.A.4.3,4.83,0.043,0.041,0,
chpc.orig.o1.mpicc.nas.mg.A.1.1,2.695,0.045,0.039,0,
chpc.orig.o1.mpicc.nas.mg.A.1.2,3.052,0.04,0.038,0,
chpc.orig.o1.mpicc.nas.mg.A.1.3,2.355,0.037,0.037,0,
chpc.orig.o1.mpicc.nas.mg.A.4.1,3.643,0.038,0.052,0,
chpc.orig.o1.mpicc.nas.mg.A.4.2,3.095,0.044,0.043,0,
chpc.orig.o1.mpicc.nas.mg.A.4.3,2.033,0.044,0.041,0,
chpc.orig.o1.mpicc.nas.sp.A.1.1,5.94,0.047,0.037,0,
chpc.orig.o1.mpicc.nas.sp.A.1.2,5.965,0.031,0.043,0,
chpc.orig.o1.mpicc.nas.sp.A.1.3,6.281,0.044,0.033,0,
chpc.orig.o1.mpicc.nas.sp.A.4.1,3.045,0.041,0.053,0,
chpc.orig.o1.mpicc.nas.sp.A.4.2,1.812,0.037,0.039,0,
chpc.orig.o1.mpicc.nas.sp.A.4.3,1.764,0.043,0.035,0,
